"PlayerFBref","UrlFBref","UrlTmarkt"
"Ömer Toprak","https://fbref.com/en/players/c5fd13e9/Omer-Toprak","https://www.transfermarkt.com/omer-toprak/profil/spieler/43512"
"Šime Vrsaljko","https://fbref.com/en/players/46a8347f/Sime-Vrsaljko","https://www.transfermarkt.com/sime-vrsaljko/profil/spieler/76061"
"Šimon Štefanec","https://fbref.com/en/players/dff4a9fc/Simon-Stefanec","https://www.transfermarkt.com/simon-stefanec/profil/spieler/344802"
"Ørjan Nyland","https://fbref.com/en/players/bdedffac/Orjan-Nyland","https://www.transfermarkt.com/orjan-nyland/profil/spieler/73517"
"Óliver Torres","https://fbref.com/en/players/58a9a4d9/Oliver-Torres","https://www.transfermarkt.com/oliver-torres/profil/spieler/214775"
"Óscar Aranda","https://fbref.com/en/players/4d3bdda7/Oscar-Aranda","https://www.transfermarkt.com/oscar-aranda/profil/spieler/652332"
"Óscar Castro","https://fbref.com/en/players/8dc4c8af/Oscar-Castro","https://www.transfermarkt.com/oscar-castro/profil/spieler/536823"
"Óscar Clemente","https://fbref.com/en/players/9dfdbdeb/Oscar-Clemente","https://www.transfermarkt.com/oscar-clemente/profil/spieler/396340"
"Óscar de Marcos","https://fbref.com/en/players/9f323c71/Oscar-de-Marcos","https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718"
"Óscar Duarte","https://fbref.com/en/players/aa0ac32d/Oscar-Duarte","https://www.transfermarkt.com/oscar-duarte/profil/spieler/175323"
"Óscar Gil","https://fbref.com/en/players/6652cf96/Oscar-Gil","https://www.transfermarkt.com/oscar-gil/profil/spieler/544106"
"Óscar Melendo","https://fbref.com/en/players/379652be/Oscar-Melendo","https://www.transfermarkt.com/oscar-melendo/profil/spieler/448344"
"Óscar Mingueza","https://fbref.com/en/players/056269d7/Oscar-Mingueza","https://www.transfermarkt.com/oscar-mingueza/profil/spieler/331505"
"Óscar Plano","https://fbref.com/en/players/7c388b20/Oscar-Plano","https://www.transfermarkt.com/oscar-plano/profil/spieler/221309"
"Óscar Rodríguez Arnaiz","https://fbref.com/en/players/19709006/Oscar-Rodriguez-Arnaiz","https://www.transfermarkt.com/oscar-rodriguez/profil/spieler/284884"
"Óscar Romero","https://fbref.com/en/players/4bc5f2b4/Oscar-Romero","https://www.transfermarkt.com/oscar-romero/profil/spieler/217886"
"Óscar Trejo","https://fbref.com/en/players/fc647b34/Oscar-Trejo","https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321"
"Óscar Valentín","https://fbref.com/en/players/592f3158/Oscar-Valentin","https://www.transfermarkt.com/oscar-valentin/profil/spieler/517753"
"Óttar Magnús Karlsson","https://fbref.com/en/players/8649e475/Ottar-Magnus-Karlsson","https://www.transfermarkt.com/ottar-magnus-karlsson/profil/spieler/271622"
"Àngel Rangel","https://fbref.com/en/players/93ee387c/Angel-Rangel","https://www.transfermarkt.com/angel-rangel/profil/spieler/66550"
"İlkay Gündoğan","https://fbref.com/en/players/819b3158/Ilkay-Gundogan","https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622"
"İsmail Köybaşı","https://fbref.com/en/players/58640e66/Ismail-Koybasi","https://www.transfermarkt.com/ismail-koybasi/profil/spieler/74641"
"Ćazim Suljić","https://fbref.com/en/players/b8c23930/Cazim-Suljic","https://www.transfermarkt.com/cazim-suljic/profil/spieler/348431"
"Çağlar Söyüncü","https://fbref.com/en/players/21166ff4/Caglar-Soyuncu","https://www.transfermarkt.com/caglar-soyuncu/profil/spieler/320141"
"Éder","https://fbref.com/en/players/5a325298/Eder","https://www.transfermarkt.com/eder/profil/spieler/37418"
"Éder Militão","https://fbref.com/en/players/2784f898/Eder-Militao","https://www.transfermarkt.com/eder-militao/profil/spieler/401530"
"Édgar Badía","https://fbref.com/en/players/e4346678/Edgar-Badia","https://www.transfermarkt.com/edgar-badia/profil/spieler/102146"
"Édgar Barreto","https://fbref.com/en/players/43a1bea5/Edgar-Barreto","https://www.transfermarkt.com/edgar-barreto/profil/spieler/16120"
"Édgar González","https://fbref.com/en/players/49d028db/Edgar-Gonzalez","https://www.transfermarkt.com/edgar-gonzalez/profil/spieler/401624"
"Édgar Méndez","https://fbref.com/en/players/aed746df/Edgar-Mendez","https://www.transfermarkt.com/edgar-mendez/profil/spieler/133794"
"Érik Lamela","https://fbref.com/en/players/abe66106/Erik-Lamela","https://www.transfermarkt.com/erik-lamela/profil/spieler/111630"
"Étienne Capoue","https://fbref.com/en/players/5acc4a10/Etienne-Capoue","https://www.transfermarkt.com/etienne-capoue/profil/spieler/63494"
"Étienne Didot","https://fbref.com/en/players/d2aa8ac0/Etienne-Didot","https://www.transfermarkt.com/etienne-didot/profil/spieler/5672"
"Éver Banega","https://fbref.com/en/players/fa937f7a/Ever-Banega","https://www.transfermarkt.com/ever-banega/profil/spieler/12249"
"Ían Pino","https://fbref.com/en/players/40585058/Ian-Pino","https://www.transfermarkt.com/ian-soler/profil/spieler/386196"
"Ádám Lang","https://fbref.com/en/players/8614496d/Adam-Lang","https://www.transfermarkt.com/adam-lang/profil/spieler/168088"
"Ádám Nagy","https://fbref.com/en/players/788b31e2/Adam-Nagy","https://www.transfermarkt.com/adam-nagy/profil/spieler/368559"
"Ádám Szalai","https://fbref.com/en/players/53e07d0b/Adam-Szalai","https://www.transfermarkt.com/adam-szalai/profil/spieler/39106"
"Álex Alegría","https://fbref.com/en/players/46166b49/Alex-Alegria","https://www.transfermarkt.com/alex-alegria/profil/spieler/178187"
"Álex Berenguer","https://fbref.com/en/players/dc1c2fce/Alex-Berenguer","https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425"
"Álex Cantero","https://fbref.com/en/players/4aa253fd/Alex-Cantero","https://www.transfermarkt.com/alejandro-cantero/profil/spieler/638235"
"Álex Centelles","https://fbref.com/en/players/ae852b7d/Alex-Centelles","https://www.transfermarkt.com/alex-centelles/profil/spieler/423443"
"Álex Collado","https://fbref.com/en/players/85dace26/Alex-Collado","https://www.transfermarkt.com/alex-collado/profil/spieler/282722"
"Álex Domínguez","https://fbref.com/en/players/f240be08/Alex-Dominguez","https://www.transfermarkt.com/alex-dominguez/profil/spieler/524937"
"Álex Fernández","https://fbref.com/en/players/aa677a35/Alex-Fernandez","https://www.transfermarkt.com/alex-fernandez/profil/spieler/89733"
"Álex Gálvez","https://fbref.com/en/players/960fb42d/Alex-Galvez","https://www.transfermarkt.com/alejandro-galvez/profil/spieler/128488"
"Álex Gallar","https://fbref.com/en/players/36d5469c/Alex-Gallar","https://www.transfermarkt.com/alex-gallar/profil/spieler/210143"
"Álex Granell","https://fbref.com/en/players/a25250f8/Alex-Granell","https://www.transfermarkt.com/alex-granell/profil/spieler/255284"
"Álex Martín","https://fbref.com/en/players/80153344/Alex-Martin","https://www.transfermarkt.com/alex-martin/profil/spieler/345083"
"Álex Martínez","https://fbref.com/en/players/e1c805cf/Alex-Martinez","https://www.transfermarkt.com/alex-martinez/profil/spieler/186891"
"Álex Moreno","https://fbref.com/en/players/16e9d0ea/Alex-Moreno","https://www.transfermarkt.com/alex-moreno/profil/spieler/193098"
"Álex Mula","https://fbref.com/en/players/bd207a4d/Alex-Mula","https://www.transfermarkt.com/alex-mula/profil/spieler/242295"
"Álex Remiro","https://fbref.com/en/players/374ee424/Alex-Remiro","https://www.transfermarkt.com/alex-remiro/profil/spieler/212862"
"Álex Robles","https://fbref.com/en/players/df9326db/Alex-Robles","https://www.transfermarkt.com/alex-robles/profil/spieler/341230"
"Álvaro Bastida","https://fbref.com/en/players/42a028c5/Alvaro-Bastida","https://www.transfermarkt.com/alvaro-bastida/profil/spieler/882772"
"Álvaro Bravo","https://fbref.com/en/players/b3f97139/Alvaro-Bravo","https://www.transfermarkt.com/alvaro-bravo/profil/spieler/284872"
"Álvaro Fernández","https://fbref.com/en/players/39a0b3f2/Alvaro-Fernandez","https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/495627"
"Álvaro Fernández","https://fbref.com/en/players/f127d782/Alvaro-Fernandez","https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/453704"
"Álvaro García","https://fbref.com/en/players/90bbd822/Alvaro-Garcia","https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062"
"Álvaro García","https://fbref.com/en/players/11184fa7/Alvaro-Garcia","https://www.transfermarkt.com/alvaro-garcia/profil/spieler/495600"
"Álvaro Giménez","https://fbref.com/en/players/18017beb/Alvaro-Gimenez","https://www.transfermarkt.com/alvaro-gimenez/profil/spieler/57935"
"Álvaro González","https://fbref.com/en/players/42dcf26d/Alvaro-Gonzalez","https://www.transfermarkt.com/alvaro-gonzalez/profil/spieler/183647"
"Álvaro Jiménez","https://fbref.com/en/players/5f5501ed/Alvaro-Jimenez","https://www.transfermarkt.com/alvaro-jimenez/profil/spieler/282406"
"Álvaro Medrán","https://fbref.com/en/players/31223bcf/Alvaro-Medran","https://www.transfermarkt.com/alvaro-medran/profil/spieler/253839"
"Álvaro Morata","https://fbref.com/en/players/129af0db/Alvaro-Morata","https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223"
"Álvaro Negredo","https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo","https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644"
"Álvaro Odriozola","https://fbref.com/en/players/1d1691ad/Alvaro-Odriozola","https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730"
"Álvaro Tejero","https://fbref.com/en/players/868ce848/Alvaro-Tejero","https://www.transfermarkt.com/alvaro-tejero/profil/spieler/290273"
"Álvaro Vázquez","https://fbref.com/en/players/d2d8675a/Alvaro-Vazquez","https://www.transfermarkt.com/alvaro-vazquez/profil/spieler/141835"
"Álvaro Vadillo","https://fbref.com/en/players/61b62b33/Alvaro-Vadillo","https://www.transfermarkt.com/alvaro-vadillo/profil/spieler/162074"
"Ángel","https://fbref.com/en/players/b1e5bbec/Angel","https://www.transfermarkt.com/angel-jimenez/profil/spieler/713632"
"Ángel Correa","https://fbref.com/en/players/01eb744d/Angel-Correa","https://www.transfermarkt.com/angel-correa/profil/spieler/266807"
"Ángel Di María","https://fbref.com/en/players/19cda00b/Angel-Di-Maria","https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320"
"Ángel López","https://fbref.com/en/players/f26d76e4/Angel-Lopez","https://www.transfermarkt.com/andoni-lopez/profil/spieler/340206"
"Ángel Montoro","https://fbref.com/en/players/719384c1/Angel-Montoro","https://www.transfermarkt.com/angel-montoro/profil/spieler/59551"
"Ángel Rodríguez","https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez","https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510"
"Łukasz Fabiański","https://fbref.com/en/players/9328b835/Lukasz-Fabianski","https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692"
"Łukasz Piszczek","https://fbref.com/en/players/fe2db476/Lukasz-Piszczek","https://www.transfermarkt.com/lukasz-piszczek/profil/spieler/25727"
"Łukasz Skorupski","https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski","https://www.transfermarkt.com/lukasz-skorupski/profil/spieler/80894"
"Łukasz Teodorczyk","https://fbref.com/en/players/7e81a17d/Lukasz-Teodorczyk","https://www.transfermarkt.com/lukasz-teodorczyk/profil/spieler/157849"
"Žan Celar","https://fbref.com/en/players/868c6958/Zan-Celar","https://www.transfermarkt.com/zan-celar/profil/spieler/340427"
"Žan Majer","https://fbref.com/en/players/bf13975c/Zan-Majer","https://www.transfermarkt.com/zan-majer/profil/spieler/180805"
"Ľubomír Tupta","https://fbref.com/en/players/b02af64f/Lubomir-Tupta","https://www.transfermarkt.com/lubomir-tupta/profil/spieler/344806"
"Aïssa Mandi","https://fbref.com/en/players/fbd6378b/Aissa-Mandi","https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293"
