index,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,icon,chanceRating,team,type,time,player,location_x,location_y,bodyPart,shotQuality,defPressure,numDefPlayers,numAttPlayers,outcome,primaryPlayer,primaryType,primaryLocation_x,primaryLocation_y,secondaryPlayer,secondaryType
1072,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,penawarded,Poor,Deportivo Alaves,[Tackle],14:28,-,-,-,-,,-,-,-,Penalty Awarded,-,-,-,-,-,-
75296,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,fairlygoodchance,fairlygoodchance,Deportivo Alaves,Open Play,77:33:00,Oscar Romero,42,78,Left,3,0,3,0,Saved,-,-,-,-,-,-
75294,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,poorchance,poorchance,Deportivo Alaves,Open Play,54:48:00,M. Wakaso,-3,126,Left,1,0,5,1,Missed,Alfonso Pedraza,Free Kick,-124,129,Burgui,Free Kick Won
75293,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,verygoodchance,verygoodchance,Leganes,Open Play,51:35:00,Guerrero,18,17,Right,3,4,2,0,Saved,A. Szymanowski,Cross Low,70,36,Diego Rico,Open Play Pass
75292,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,goodchance,goodchance,Leganes,Open Play,37:55:00,Guerrero,3,35,Head,1,4,2,0,Defended,Eraso,Corner,-136,0,Joseba Zaldua,Corner Won
75291,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,fairlygoodchance,fairlygoodchance,Leganes,Open Play,36:58:00,Omar Ramos,-58,90,Left,1,1,3,1,Defended,A. Szymanowski,Open Play Pass,-4,113,Eraso,Open Play Pass
75290,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,fairlygoodchance,fairlygoodchance,Leganes,Open Play,33:21:00,Gabriel,-9,100,Left,3,1,2,0,Saved,Omar Ramos,Open Play Pass,-103,164,E. Munoz,Open Play Pass
75289,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,greatchance,greatchance,Leganes,Dangerous Moment,26:41:00,Guerrero,20,38,Right,0,2,1,0,Saved,A. Szymanowski,Open Play Pass,12,97,Gabriel,Free Kick
75288,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,fairlygoodchance,fairlygoodchance,Leganes,Direct Free-Kick,26:36:00,Gabriel,-31,106,Left,2,0,7,2,Defended,Omar Ramos,Free Kick Won,-34,108,-,-
75287,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,goodchance,goodchance,Leganes,Open Play,20:01,Gabriel,30,52,Left,2,1,2,0,Missed,A. Szymanowski,Open Play Pass,52,40,Joseba Zaldua,Cross High
75286,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,goodchance,goodchance,Deportivo Alaves,Open Play,12:13,Ruben Sobrino,-59,33,Right,3,2,2,0,Saved,Burgui,Open Play Pass,-53,107,-,-
75285,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,verygoodchance,verygoodchance,Leganes,Open Play,06:19,Guerrero,7,29,Left,1,1,2,0,Missed,A. Szymanowski,Cross High,95,88,Omar Ramos,Open Play Pass
75284,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,fairlygoodchance,fairlygoodchance,Leganes,Open Play,04:33,Guerrero,43,81,Right,1,2,2,0,Saved,-,-,-,-,-,-
75283,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,fairlygoodchance,fairlygoodchance,Leganes,Open Play,44:31:00,A. Szymanowski,51,93,Left,2,0,2,0,Defended,Omar Ramos,Open Play Pass,-92,253,Eraso,Open Play Pass
75282,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,fairlygoodchance,fairlygoodchance,Leganes,Open Play,45:25:00,A. Szymanowski,25,55,Left,1,2,4,1,Defended,-,-,-,-,-,-
75281,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,poorchance,poorchance,Deportivo Alaves,Open Play,46:30:00,Ibai Gomez,43,111,Right,1,0,2,1,Missed,Burgui,Open Play Pass,26,140,Manu Garcia,Open Play Pass
75280,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,verygoodchance,verygoodchance,Deportivo Alaves,Dangerous Moment,69:34:00,Tomas Pina,-12,37,Right,0,5,3,0,Defended,Burgui,Cross Low,61,19,Ibai Gomez,Open Play Pass
75279,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,poorchance,poorchance,Deportivo Alaves,Open Play,71:15:00,R. Ely,40,48,Head,2,4,2,0,Saved,Oscar Romero,Free Kick,-98,185,Carlos Vigaray,Free Kick Won
75295,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,goodchance,goodchance,Leganes,Dangerous Moment,59:17:00,Eraso,-52,35,Right,0,0,1,0,Defended,Omar Ramos,Open Play Pass,-37,110,Joseba Zaldua,Open Play Pass
75297,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,poorchance,poorchance,Deportivo Alaves,Open Play,81:49:00,Burgui,-4,105,Right,4,1,2,0,Woodwork,Oscar Romero,Open Play Pass,-97,140,-,-
75298,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,goodchance,goodchance,Leganes,Open Play,83:58:00,Guerrero,-9,33,Head,2,4,2,0,Missed,N. El Zhar,Open Play Pass,-53,46,Gabriel,Open Play Pass
10164,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,goal,Superb,Leganes,Open Play,23:16,Gabriel,-6,11,Left,3,0,0,0,-,Guerrero,Free Kick,55,99,Gabriel,Free Kick Won
264,SpaPr,2529249,18/08/2017,18:15:00,Leganes,Deportivo Alaves,penmissed,-,Deportivo Alaves,Penalty Earned,16:06,Manu Garcia,-,-,Left,3,-,-,-,Save,Burgui,-,-70,16,-,-
75307,SpaPr,2529248,18/08/2017,20:15:00,Valencia,Las Palmas,fairlygoodchance,fairlygoodchance,Valencia,Open Play,10:43,Joao Cancelo,-27,55,Left,2,4,3,0,Defended,Carlos Soler,Open Play Pass,13,81,Dani Parejo,Open Play Pass
75302,SpaPr,2529248,18/08/2017,20:15:00,Valencia,Las Palmas,fairlygoodchance,fairlygoodchance,Valencia,Open Play,26:51:00,Joao Cancelo,-30,46,Left,1,0,3,1,Missed,Rodrigo,Cross High,85,2,-,-
75320,SpaPr,2529248,18/08/2017,20:15:00,Valencia,Las Palmas,goodchance,goodchance,Valencia,Open Play,90:11:00,Santi Mina,-13,38,Head,2,4,1,0,Woodwork,Dani Parejo,Corner,-136,0,-,-
75319,SpaPr,2529248,18/08/2017,20:15:00,Valencia,Las Palmas,verygoodchance,verygoodchance,Valencia,Open Play,89:22:00,S. Zaza,-50,41,Right,3,1,1,0,Saved,N. Maksimovic,Open Play Pass,21,76,-,-
