True,index,comp_id,competition,end_added,end_min,fixture_id,fixture_week,kick_off_dt,player,player_id,season,season_id,start_added,start_min,start_status,team,team_id,location,mins_played
103741,0,28,SweAV,0,90,2380151,1.0,2017-04-01,P. Dahlberg,400803,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103742,1,28,SweAV,0,90,2380151,1.0,2017-04-01,E. Salomonsson,29828,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103743,2,28,SweAV,0,90,2380151,1.0,2017-04-01,S. Jamieson,5250,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103744,3,28,SweAV,0,90,2380151,1.0,2017-04-01,M. Bjarsmyr,6240,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103745,4,28,SweAV,0,90,2380151,1.0,2017-04-01,T. Rogne,41421,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103746,5,28,SweAV,0,90,2380151,1.0,2017-04-01,S. Eriksson,32131,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103747,6,28,SweAV,0,82,2380151,1.0,2017-04-01,H. Bjordal,232999,2017,13293,0,0,Start,IFK Goteborg,2149,home,82
103748,7,28,SweAV,0,90,2380151,1.0,2017-04-01,M. Albaek,39890,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103749,8,28,SweAV,0,90,2380151,1.0,2017-04-01,S. Rieks,11711,2017,13293,0,0,Start,IFK Goteborg,2149,home,90
103750,9,28,SweAV,0,87,2380151,1.0,2017-04-01,M. Diskerud,75700,2017,13293,0,0,Start,IFK Goteborg,2149,home,87
103751,10,28,SweAV,0,75,2380151,1.0,2017-04-01,M. Boman,30285,2017,13293,0,0,Start,IFK Goteborg,2149,home,75
103752,11,28,SweAV,0,90,2380151,1.0,2017-04-01,E. Dahlin,6238,2017,13293,0,-1,Unused Sub,IFK Goteborg,2149,home,0
103753,12,28,SweAV,0,90,2380151,1.0,2017-04-01,D. Wiklander,30428,2017,13293,0,-1,Unused Sub,IFK Goteborg,2149,home,0
103754,13,28,SweAV,0,90,2380151,1.0,2017-04-01,M. Smedberg-Dalence,28176,2017,13293,0,-1,Unused Sub,IFK Goteborg,2149,home,0
103755,14,28,SweAV,0,90,2380151,1.0,2017-04-01,A. Razak,175427,2017,13293,0,87,Sub,IFK Goteborg,2149,home,3
103756,15,28,SweAV,0,90,2380151,1.0,2017-04-01,S. Ohlsson,261374,2017,13293,0,-1,Unused Sub,IFK Goteborg,2149,home,0
103757,16,28,SweAV,0,90,2380151,1.0,2017-04-01,E. Omarsson,213035,2017,13293,0,82,Sub,IFK Goteborg,2149,home,8
103758,17,28,SweAV,0,90,2380151,1.0,2017-04-01,T. Hysen,16039,2017,13293,0,75,Sub,IFK Goteborg,2149,home,15
103759,18,28,SweAV,0,90,2380148,1.0,2017-04-01,I. Pettersson,436259,2017,13293,0,0,Start,Halmstad,2145,home,90
103760,19,28,SweAV,0,90,2380148,1.0,2017-04-01,M. Rasmussen,421629,2017,13293,0,0,Start,Halmstad,2145,home,90
103761,20,28,SweAV,0,90,2380148,1.0,2017-04-01,F. Liverstam,77699,2017,13293,0,0,Start,Halmstad,2145,home,90
103762,21,28,SweAV,0,90,2380148,1.0,2017-04-01,J. Westerberg,6128,2017,13293,0,0,Start,Halmstad,2145,home,90
103763,22,28,SweAV,0,90,2380148,1.0,2017-04-01,M. Mathisen,314046,2017,13293,0,0,Start,Halmstad,2145,home,90
103764,23,28,SweAV,0,90,2380148,1.0,2017-04-01,A. Bengtsson,389949,2017,13293,0,0,Start,Halmstad,2145,home,90
103765,24,28,SweAV,0,90,2380148,1.0,2017-04-01,M. Johansson,283665,2017,13293,0,0,Start,Halmstad,2145,home,90
103766,25,28,SweAV,0,90,2380148,1.0,2017-04-01,I. Pekalski,30356,2017,13293,0,0,Start,Halmstad,2145,home,90
