player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,second_citizenship,season,current_club,current_club_country,market_value_euros,joined,contract_expires,contract_option,on_loan_from,on_loan_from_country,loan_contract_expiry,player_agent,name_lower,firstname_lower,lastname_lower,firstinitial_lower,market_value_pounds
534033,alexis mac allister,24.0,12.0,1998.0,Santa Rosa,Argentina,1998-12-24,,174.0,right,,2020-2021,brighton & hove albion,england,11000000.0,2019-01-24,2023-06-30,,,,,,alexis mac allister,alexis,allister,a,9900000.0
93176,marcos rojo,20.0,3.0,1990.0,Buenos Aires,Argentina,1990-03-20,,187.0,left,,2020-2021,manchester united,england,6000000.0,2014-08-20,2021-06-30,,,,,Stellar Football Ltd,marcos rojo,marcos,rojo,m,5400000.0
134425,raheem sterling,8.0,12.0,1994.0,Kingston,Jamaica,1994-12-08,,170.0,right,Jamaica,2020-2021,manchester city,england,110000000.0,2015-07-14,2023-06-30,,,,,Colossal Sports Management,raheem sterling,raheem,sterling,r,99000000.0
238223,ederson,17.0,8.0,1993.0,Osasco (SP),Brazil,1993-08-17,,188.0,left,Portugal,2020-2021,manchester city,england,56000000.0,2017-07-01,2025-06-30,,,,,Gestifute,ederson,ederson,ederson,e,50400000.0
88755,kevin de bruyne,28.0,6.0,1991.0,Drongen,Belgium,1991-06-28,,181.0,right,,2020-2021,manchester city,england,120000000.0,2015-08-30,2023-06-30,,,,,,kevin de bruyne,kevin,bruyne,k,108000000.0
357565,rodri,22.0,6.0,1996.0,Madrid,Spain,1996-06-22,,191.0,right,,2020-2021,manchester city,england,64000000.0,2019-07-04,2024-06-30,,,,,Pablo Barquero,rodri,rodri,rodri,r,57600000.0
186590,john stones,28.0,5.0,1994.0,Barnsley,England,1994-05-28,,188.0,right,,2020-2021,manchester city,england,25000000.0,2016-08-09,2022-06-30,,,,,Wasserman,john stones,john,stones,j,22500000.0
182712,joão cancelo,27.0,5.0,1994.0,Barreiro,Portugal,1994-05-27,,182.0,right,,2020-2021,manchester city,england,36000000.0,2019-08-07,2025-06-30,,,,,Gestifute,joao cancelo,joao,cancelo,j,32400000.0
340460,philippe sandler,10.0,2.0,1997.0,Amsterdam,Netherlands,1997-02-10,,190.0,right,,2020-2021,manchester city,england,3500000.0,2018-07-31,2022-06-30,,,,,Mino Raiola,philippe sandler,philippe,sandler,p,3150000.0
26267,fernandinho,4.0,5.0,1985.0,Londrina,Brazil,1985-05-04,,179.0,right,,2020-2021,manchester city,england,4000000.0,2013-07-01,2021-06-30,,,,,Branchini Associati S.p.A.,fernandinho,fernandinho,fernandinho,f,3600000.0
