tm_id,player_name,birth_day,birth_month,birth_year,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season,current_club,current_club_country,market_value_euros,joined,contract_expires,contract_option,on_loan_from,on_loan_from_country,loan_contract_expiry,player_agent,name_lower,firstname_lower,lastname_lower,firstinitial_lower,league_country_lower,position_code,position_grouped,outfielder_goalkeeper,age,age_when_joining,years_since_joining,years_until_contract_expiry,market_value_pounds
2857,eldin jakupovic,2.0,10.0,1984.0,Kozarac,Jugoslawien (SFR),1984-10-02,Goalkeeper,191.0,right,,Bosnia-Herzegovina,GB1,2021,leicester city,england,300000.0,2017-07-19,2021-06-30,,,,,HSD,eldin jakupovic,eldin,jakupovic,e,england,GK,Goalkeeper,Goalkeeper,36.0,32.0,4.0,-1.0,270000.0
3333,james milner,4.0,1.0,1986.0,Leeds,England,1986-01-04,midfield - Central Midfield,175.0,right,England,,GB1,2021,liverpool fc,england,3000000.0,2015-07-01,2022-06-30,,,,,Samii Sport-Marketing Agentur,james milner,james,milner,j,england,CM,Midfielder,Outfielder,35.0,29.0,6.0,0.0,2700000.0
3455,zlatan ibrahimovic,3.0,10.0,1981.0,Malmö,Sweden,1981-10-03,attack - Centre-Forward,195.0,both,,Bosnia-Herzegovina,IT1,2021,ac milan,italy,4000000.0,2020-01-02,2022-06-30,,,,,Mino Raiola,zlatan ibrahimovic,zlatan,ibrahimovic,z,italy,ST,Forward,Outfielder,39.0,38.0,1.0,0.0,3600000.0
5578,nicolas penneteau,28.0,2.0,1981.0,Marseille,France,1981-02-28,Goalkeeper,185.0,left,France,,FR1,2021,stade reims,france,200000.0,2021-07-01,2023-06-30,,,,,USM GROUP,nicolas penneteau,nicolas,penneteau,n,france,GK,Goalkeeper,Goalkeeper,40.0,40.0,0.0,1.0,180000.0
6442,antonio rosati,26.0,6.0,1983.0,Tivoli,Italy,1983-06-26,Goalkeeper,195.0,right,Italy,,IT1,2021,acf fiorentina,italy,100000.0,2021-02-01,,,,,,Alessandro Lucci - WSA,antonio rosati,antonio,rosati,a,italy,GK,Goalkeeper,Goalkeeper,38.0,37.0,0.0,,90000.0
7093,francesco magnanelli,12.0,11.0,1984.0,Umbertide,Italy,1984-11-12,midfield - Defensive Midfield,181.0,right,Italy,,IT1,2021,us sassuolo,italy,400000.0,2005-07-01,2022-06-30,,,,,TMP SOCCER srl,francesco magnanelli,francesco,magnanelli,f,italy,CDM,Midfielder,Outfielder,36.0,20.0,16.0,0.0,360000.0
7161,jonas hofmann,14.0,7.0,1992.0,Heidelberg,Germany,1992-07-14,attack - Right Winger,176.0,right,Germany,,L1,2021,borussia mönchengladbach,germany,16000000.0,2016-01-01,2023-06-30,,,,,Dr. Gutfleisch,jonas hofmann,jonas,hofmann,j,germany,RW,Forward,Outfielder,29.0,23.0,5.0,1.0,14400000.0
7663,joaquín,21.0,7.0,1981.0,El Puerto de Santa María,Spain,1981-07-21,attack - Right Winger,181.0,right,Spain,,ES1,2021,real betis balompié,spain,1500000.0,2015-08-31,2022-06-30,,,,,Juzzt Football,joaquin,joaquin,joaquin,j,spain,RW,Forward,Outfielder,40.0,34.0,6.0,0.0,1350000.0
7825,pepe reina,31.0,8.0,1982.0,Madrid,Spain,1982-08-31,Goalkeeper,188.0,right,Spain,,IT1,2021,ss lazio,italy,800000.0,2020-09-01,2022-06-30,,,,,Manuel García Quilón,pepe reina,pepe,reina,p,italy,GK,Goalkeeper,Goalkeeper,39.0,38.0,0.0,0.0,720000.0
8176,oier olazábal,14.0,9.0,1989.0,Irún,Spain,1989-09-14,Goalkeeper,189.0,left,Spain,,ES1,2021,rcd espanyol barcelona,spain,300000.0,2020-01-31,2022-06-30,,,,,Sport Agency 4U,oier olazabal,oier,olazabal,o,spain,GK,Goalkeeper,Goalkeeper,31.0,30.0,1.0,0.0,270000.0
8198,cristiano ronaldo,5.0,2.0,1985.0,Funchal,Portugal,1985-02-05,attack - Centre-Forward,187.0,right,Portugal,,IT1,2021,juventus fc,italy,45000000.0,2018-07-10,2022-06-30,,,,,Gestifute,cristiano ronaldo,cristiano,ronaldo,c,italy,ST,Forward,Outfielder,36.0,33.0,3.0,0.0,40500000.0
