player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
111482,eric bauthéac,24,8,1987,Bagnols-sur-Cèze,France,1987-08-24,attack - Right Winger,168,left,France,,FR1,2016
182906,mike maignan,3,7,1995,Cayenne,French Guiana,1995-07-03,Goalkeeper,191,right,,French Guiana,FR1,2016
37760,vincent enyeama,29,8,1982,Kaduna,Nigeria,1982-08-29,Goalkeeper,182,left,Nigeria,,FR1,2016
45237,julian palmieri,7,12,1986,Lyon,France,1986-12-07,Defender - Left-Back,170,left,France,,FR1,2016
353366,benjamin pavard,28,3,1996,Maubeuge,France,1996-03-28,Defender - Right-Back,186,right,France,,FR1,2016
290537,jean butez,8,6,1995,,France,1995-06-08,Goalkeeper,188,right,France,,FR1,2016
410425,yves bissouma,30,8,1996,Issia,Cote d'Ivoire,1996-08-30,midfield - Central Midfield,182,right,,Cote d'Ivoire,FR1,2016
77834,marvin martin,10,1,1988,Paris,France,1988-01-10,midfield - Attacking Midfield,170,right,France,,FR1,2016
174694,rony lopes,28,12,1995,Belém,Brazil,1995-12-28,attack - Right Winger,174,left,,Brazil,FR1,2016
122116,nicolas de préville,8,1,1991,Istres,France,1991-01-08,attack - Centre-Forward,182,right,France,,FR1,2016
39883,morgan amalfitano,20,3,1985,Nizza,France,1985-03-20,attack - Right Winger,178,right,,Italy,FR1,2016
277268,alexis araujo,7,12,1996,Tourcoing,France,1996-12-07,midfield - Attacking Midfield,168,both,,France,FR1,2016
82324,stoppila sunzu,22,6,1989,Chingola,Zambia,1989-06-22,Defender - Centre-Back,192,right,Zambia,,FR1,2016
442891,martin terrier,4,3,1997,Armentières,France,1997-03-04,attack - Left Winger,184,right,France,,FR1,2016
111627,ryan mendes,8,1,1990,Fogo,Cape Verde,1990-01-08,attack - Left Winger,178,right,,France,FR1,2016
205503,ibrahim amadou,6,4,1993,Douala,Cameroon,1993-04-06,midfield - Defensive Midfield,183,right,,Cameroon,FR1,2016
14949,rio mavuba,8,3,1984,,France  DR Congo,1984-03-08,midfield - Defensive Midfield,172,right,,DR Congo,FR1,2016
102744,sébastien corchia,1,11,1990,Noisy-le-Sec,France,1990-11-01,Defender - Right-Back,176,right,,Italy,FR1,2016
184491,naïm sliti,27,7,1992,Marseille,France,1992-07-27,attack - Left Winger,173,right,,France,FR1,2016
30757,renato civelli,14,10,1983,Pehuajó,Argentina,1983-10-14,Defender - Centre-Back,193,right,,Italy,FR1,2016
427161,lebo mothiba,28,1,1996,"Johannesburg, Gauteng",South Africa,1996-01-28,attack - Centre-Forward,182,right,South Africa,,FR1,2016
17179,marko basa,29,12,1982,Trstenik,Jugoslawien (SFR),1982-12-29,Defender - Centre-Back,190,right,Montenegro,,FR1,2016
12096,franck béria,23,5,1983,Argenteuil,France,1983-05-23,Defender - Right-Back,177,right,,Madagascar,FR1,2016
481176,valère pollet,27,6,1997,Calais,France,1997-06-27,midfield - Central Midfield,177,right,France,,FR1,2016
159026,ricardo kishna,4,1,1995,Den Haag,Netherlands,1995-01-04,attack - Left Winger,187,left,,Suriname,FR1,2016
190333,farès bahlouli,8,4,1995,Lyon,France,1995-04-08,midfield - Attacking Midfield,182,right,,Algeria,FR1,2016
29311,mounir obbadi,4,4,1983,Meulan,France,1983-04-04,midfield - Central Midfield,175,right,,France,FR1,2016
145416,junior tallo,21,12,1992,Magbehigouepa,Cote d'Ivoire,1992-12-21,attack - Centre-Forward,185,right,Cote d'Ivoire,,FR1,2016
274484,youssouf koné,5,7,1995,Bamako,Mali,1995-07-05,Defender - Left-Back,174,left,Mali,,FR1,2016
183720,anwar el ghazi,3,5,1995,Barendrecht,Netherlands,1995-05-03,attack - Right Winger,189,right,,Morocco,FR1,2016
371686,carlens arcus,28,6,1996,Port-au-Prince,Haiti,1996-06-28,Defender - Right-Back,176,right,Haiti,,FR1,2016
55409,younousse sankharé,10,9,1989,Sarcelles,France,1989-09-10,midfield - Central Midfield,184,left,,France,FR1,2016
187847,yassine benzia,8,9,1994,Saint-Aubin-les-Elbeuf,France,1994-09-08,midfield - Attacking Midfield,178,right,,France,FR1,2016
290256,xeka,10,11,1994,Paredes,Portugal,1994-11-10,midfield - Central Midfield,186,both,Portugal,,FR1,2016
447221,hamza mendyl,21,10,1997,Casablanca,Morocco,1997-10-21,Defender - Left-Back,179,left,,Cote d'Ivoire,FR1,2016
435338,gabriel,19,12,1997,São Paulo,Brazil,1997-12-19,Defender - Centre-Back,190,left,Brazil,,FR1,2016
238632,emmanuel debordeaux,22,3,1993,,France,1993-03-22,midfield - Defensive Midfield,180,right,France,,FR1,2016
