player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
348795,giovani lo celso,9,4,1996,Rosario,Argentina,1996-04-09,midfield - Central Midfield,177,left,,Italy,FR1,2017
23914,lassana diarra,10,3,1985,Paris,France,1985-03-10,midfield - Defensive Midfield,173,right,,Mali,FR1,2017
395251,sébastien cibois,2,3,1998,Argenteuil,France,1998-03-02,Goalkeeper,192,right,France,,FR1,2017
282028,rémy descamps,25,6,1996,Marcq-en-Barœul,France,1996-06-25,Goalkeeper,196,left,France,,FR1,2017
29241,thiago silva,22,9,1984,Rio de Janeiro,Brazil,1984-09-22,Defender - Centre-Back,183,right,,France,FR1,2017
371141,stanley nsoki,9,4,1999,Poissy,France,1999-04-09,Defender - Centre-Back,184,left,,Congo,FR1,2017
344381,christopher nkunku,14,11,1997,Lagny-sur-Marne,France,1997-11-14,midfield - Attacking Midfield,175,right,,DR Congo,FR1,2017
225122,gonçalo guedes,29,11,1996,Benavente,Portugal,1996-11-29,attack - Left Winger,179,right,Portugal,,FR1,2017
77100,lucas moura,13,8,1992,São Paulo,Brazil,1992-08-13,attack - Right Winger,172,right,Brazil,,FR1,2017
93751,kévin rimane,23,2,1991,Cayenne,French Guiana,1991-02-23,Defender - Centre-Back,181,right,,France,FR1,2017
15951,dani alves,6,5,1983,Juazeiro,Brazil,1983-05-06,Defender - Right-Back,172,right,,Spain,FR1,2017
120629,alphonse areola,27,2,1993,Paris,France,1993-02-27,Goalkeeper,195,right,,Philippines,FR1,2017
370846,timothy weah,22,2,2000,"New York City, New York",United States,2000-02-22,attack - Centre-Forward,185,right,,France,FR1,2017
126710,layvin kurzawa,4,9,1992,Fréjus,France,1992-09-04,Defender - Left-Back,182,left,,Guadeloupe,FR1,2017
33923,blaise matuidi,9,4,1987,Toulouse,France,1987-04-09,midfield - Central Midfield,175,left,,Angola,FR1,2017
181767,marquinhos,14,5,1994,São Paulo,Brazil,1994-05-14,Defender - Centre-Back,183,right,,Portugal,FR1,2017
61812,yuri berchiche,10,2,1990,Zarautz,Spain,1990-02-10,Defender - Left-Back,181,left,Spain,,FR1,2017
45672,kevin trapp,8,7,1990,Merzig,Germany,1990-07-08,Goalkeeper,189,right,Germany,,FR1,2017
45320,ángel di maría,14,2,1988,Rosario,Argentina,1988-02-14,attack - Right Winger,180,left,,Italy,FR1,2017
7602,thiago motta,28,8,1982,São Bernardo do Campo,Brazil,1982-08-28,midfield - Defensive Midfield,187,left,,Brazil,FR1,2017
102558,marco verratti,5,11,1992,Pescara,Italy,1992-11-05,midfield - Central Midfield,165,right,Italy,,FR1,2017
68290,neymar,5,2,1992,Mogi das Cruzes,Brazil,1992-02-05,attack - Left Winger,175,right,Brazil,,FR1,2017
342229,kylian mbappé,20,12,1998,Paris,France,1998-12-20,attack - Centre-Forward,178,right,France,,FR1,2017
18900,hatem ben arfa,7,3,1987,Clamart,France,1987-03-07,midfield - Attacking Midfield,179,left,,Tunisia,FR1,2017
100986,thomas meunier,12,9,1991,Sainte-Ode,Belgium,1991-09-12,Defender - Right-Back,191,right,Belgium,,FR1,2017
134936,jesé,26,2,1993,Las Palmas de Gran Canaria,Spain,1993-02-26,attack - Left Winger,178,right,Spain,,FR1,2017
48280,edinson cavani,14,2,1987,Salto,Uruguay,1987-02-14,attack - Centre-Forward,184,right,,Italy,FR1,2017
282041,presnel kimpembe,13,8,1995,Beaumont-sur-Oise,France,1995-08-13,Defender - Centre-Back,189,left,,DR Congo,FR1,2017
182913,adrien rabiot,3,4,1995,Saint-Maurice,France,1995-04-03,midfield - Central Midfield,188,left,France,,FR1,2017
324800,alec georgen,17,9,1998,Clamart,France,1998-09-17,Defender - Right-Back,172,right,France,,FR1,2017
395512,antoine bernede,26,5,1999,Paris,France,1999-05-26,midfield - Central Midfield,177,left,,Cameroon,FR1,2017
362344,lorenzo callegari,27,2,1998,Meudon,France,1998-02-27,midfield - Defensive Midfield,174,right,,Italy,FR1,2017
85148,julian draxler,20,9,1993,Gladbeck,Germany,1993-09-20,attack - Left Winger,185,right,Germany,,FR1,2017
55215,javier pastore,20,6,1989,Córdoba,Argentina,1989-06-20,midfield - Attacking Midfield,187,right,,Italy,FR1,2017
395236,yacine adli,29,7,2000,Vitry-sur-Seine,France,2000-07-29,midfield - Attacking Midfield,186,right,,Algeria,FR1,2017
342209,kévin n'doram,22,1,1996,Saint-Sébastien-sur-Loire,France,1996-01-22,midfield - Defensive Midfield,185,right,,Chad,FR1,2017
161869,djibril sidibé,29,7,1992,Troyes,France,1992-07-29,Defender - Right-Back,182,right,,Mali,FR1,2017
272642,allan saint-maximin,12,3,1997,Châtenay-Malabry,France,1997-03-12,attack - Left Winger,173,right,,Guadeloupe,FR1,2017
413032,ibrahima diallo,8,3,1999,Tours,France,1999-03-08,midfield - Defensive Midfield,179,right,,Senegal,FR1,2017
174694,rony lopes,28,12,1995,Belém,Brazil,1995-12-28,attack - Right Winger,174,left,,Brazil,FR1,2017
