player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
72462,luciano narsingh,13,9,1990,Amsterdam,Netherlands,1990-09-13,attack - Right Winger,175,right,,Suriname,GB1,2017
56631,erwin mulder,3,3,1989,Pannerden,Netherlands,1989-03-03,Goalkeeper,193,right,Netherlands,,GB1,2017
14066,wayne routledge,7,1,1985,London,England,1985-01-07,attack - Left Winger,170,right,,Jamaica,GB1,2017
121279,tom carroll,28,5,1992,Watford,England,1992-05-28,midfield - Central Midfield,177,left,England,,GB1,2017
187105,mike van der hoorn,15,10,1992,Almere,Netherlands,1992-10-15,Defender - Centre-Back,190,right,Netherlands,,GB1,2017
374889,kenji gorré,29,9,1994,Spijkenisse,Netherlands,1994-09-29,midfield - Right Midfield,178,right,,Netherlands,GB1,2017
298477,oliver mcburnie,4,6,1996,Leeds,England,1996-06-04,attack - Centre-Forward,188,right,,England,GB1,2017
256652,adnan maric,17,2,1997,Göteborg,Sweden,1997-02-17,midfield - Defensive Midfield,181,,,Bosnia-Herzegovina,GB1,2017
85475,federico fernández,21,2,1989,Tres Algarrobos,Argentina,1989-02-21,Defender - Centre-Back,190,right,,Italy,GB1,2017
214666,connor roberts,23,9,1995,Neath,Wales,1995-09-23,Defender - Right-Back,175,right,Wales,,GB1,2017
67421,kyle bartley,22,5,1991,Stockport,England,1991-05-22,Defender - Centre-Back,194,right,,Jamaica,GB1,2017
40043,leon britton,16,9,1982,London,England,1982-09-16,midfield - Central Midfield,167,right,England,,GB1,2017
75890,kristoffer nordfeldt,23,6,1989,Stockholm,Sweden,1989-06-23,Goalkeeper,190,right,Sweden,,GB1,2017
66219,kyle naughton,17,11,1988,Sheffield,England,1988-11-17,Defender - Right-Back,181,right,,Ireland,GB1,2017
38073,martin olsson,17,5,1988,Gävle,Sweden,1988-05-17,Defender - Left-Back,178,left,Sweden,,GB1,2017
298231,courtney baker-richardson,5,12,1995,Coventry,England,1995-12-05,attack - Centre-Forward,185,right,England,,GB1,2017
297212,joe rodon,22,10,1997,Swansea,Wales,1997-10-22,Defender - Centre-Back,193,right,Wales,,GB1,2017
56872,andy king,29,10,1988,Barnstaple,England,1988-10-29,midfield - Central Midfield,184,right,,England,GB1,2017
169566,adam king,11,10,1995,Edinburgh,Scotland,1995-10-11,midfield - Central Midfield,180,right,Scotland,,GB1,2017
319301,daniel james,10,11,1997,Beverley,England,1997-11-10,attack - Left Winger,170,right,,England,GB1,2017
81796,sung-yueng ki,24,1,1989,Gwangju,"Korea, South",1989-01-24,midfield - Defensive Midfield,189,right,"Korea, South",,GB1,2017
171260,jay fulton,4,4,1994,Bolton,England,1994-04-04,midfield - Central Midfield,178,right,,England,GB1,2017
258027,renato sanches,18,8,1997,Lisboa,Portugal,1997-08-18,midfield - Central Midfield,176,right,,Sao Tome and Principe,GB1,2017
240083,george byers,29,5,1996,Ilford,England,1996-05-29,midfield - Central Midfield,180,right,,England,GB1,2017
45403,andré ayew,17,12,1989,Seclin,France,1989-12-17,attack - Left Winger,176,left,,France,GB1,2017
331726,tammy abraham,2,10,1997,London,England,1997-10-02,attack - Centre-Forward,190,right,,Nigeria,GB1,2017
122223,sam clucas,25,9,1990,Lincoln,England,1990-09-25,midfield - Central Midfield,178,left,England,,GB1,2017
63342,leroy fer,5,1,1990,Zoetermeer,Netherlands,1990-01-05,midfield - Defensive Midfield,188,right,,Curacao,GB1,2017
265471,matt grimes,15,7,1995,Exeter,England,1995-07-15,midfield - Central Midfield,178,left,England,,GB1,2017
37011,nathan dyer,29,11,1987,Trowbridge,England,1987-11-29,attack - Right Winger,165,right,,Jamaica,GB1,2017
202984,roque mesa,7,6,1989,Telde,Spain,1989-06-07,midfield - Central Midfield,172,right,Spain,,GB1,2017
66550,ángel rangel,28,11,1982,Sant Carles de la Ràpita,Spain,1982-11-28,Defender - Right-Back,188,right,Spain,,GB1,2017
