player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
34130,tom heaton,15,4,1986,Chester,England,1986-04-15,Goalkeeper,188,right,England,,GB1,2020
575210,harrison sohna,1,7,2002,,England,2002-07-01,midfield - Central Midfield,178,,England,,GB1,2020
73517,örjan nyland,10,9,1990,Volda,Norway,1990-09-10,Goalkeeper,192,right,Norway,,GB1,2020
646710,sil swinkels,6,1,2004,Sint Oedenrode,Netherlands,2004-01-06,Defender - Centre-Back,,,Netherlands,,GB1,2020
503750,dominic revan,19,9,2000,West Bromwich,England,2000-09-19,Defender - Centre-Back,,,,St. Kitts & Nevis,GB1,2020
176591,jota peleteiro,16,6,1991,A Pobra do Caramiñal,Spain,1991-06-16,attack - Right Winger,178,left,Spain,,GB1,2020
659459,carney chukwuemeka,20,10,2003,,England  Nigeria,2003-10-20,midfield - Central Midfield,185,right,,Nigeria,GB1,2020
233124,kortney hause,16,7,1995,Redbridge,England,1995-07-16,Defender - Centre-Back,191,left,,Bermuda,GB1,2020
665390,jaden philogene-bidace,8,2,2002,,England,2002-02-08,attack - Left Winger,181,right,England,,GB1,2020
46405,lovre kalinic,3,4,1990,Split,Jugoslawien (SFR),1990-04-03,Goalkeeper,200,left,Croatia,,GB1,2020
324882,marvelous nakamba,19,1,1994,Hwange,Zimbabwe,1994-01-19,midfield - Defensive Midfield,177,left,Zimbabwe,,GB1,2020
447661,douglas luiz,9,5,1998,Rio de Janeiro,Brazil,1998-05-09,midfield - Defensive Midfield,177,right,Brazil,,GB1,2020
174094,morgan sanson,18,8,1994,Saint-Doulchard,France,1994-08-18,midfield - Central Midfield,180,right,France,,GB1,2020
503749,jacob ramsey,28,5,2001,Birmingham,England,2001-05-28,midfield - Attacking Midfield,180,right,England,,GB1,2020
413403,ezri konsa,23,10,1997,London,England,1997-10-23,Defender - Centre-Back,183,right,,DR Congo,GB1,2020
234189,trezeguet,1,10,1994,Kafr El-Sheikh,Egypt,1994-10-01,attack - Left Winger,179,right,Egypt,,GB1,2020
459322,callum rowe,2,9,1999,Leicester,England,1999-09-02,Defender - Left-Back,,,England,,GB1,2020
61653,conor hourihane,2,2,1991,Cork,Ireland,1991-02-02,midfield - Central Midfield,181,left,Ireland,,GB1,2020
501156,ákos onódi,2,9,2001,Győr,Hungary,2001-09-02,Goalkeeper,194,,Hungary,,GB1,2020
354352,frédéric guilbert,24,12,1994,Valognes,France,1994-12-24,Defender - Right-Back,178,right,France,,GB1,2020
253677,tyrone mings,13,3,1993,Bath,England,1993-03-13,Defender - Centre-Back,195,left,,Barbados,GB1,2020
486100,jake walker,3,11,2000,,England,2000-11-03,Defender - Right-Back,179,right,England,,GB1,2020
670846,ben chrisene,12,1,2004,,England,2004-01-12,Defender - Left-Back,,,England,,GB1,2020
555074,oliwier zych,28,6,2004,,Poland,2004-06-28,Goalkeeper,193,right,Poland,,GB1,2020
581670,louie barry,21,6,2003,Sutton Coldfield,England,2003-06-21,attack - Centre-Forward,174,right,,Ireland,GB1,2020
698097,hayden lindley,2,9,2002,,England,2002-09-02,midfield - Defensive Midfield,,,England,,GB1,2020
250478,matt targett,18,9,1995,Eastleigh,England,1995-09-18,Defender - Left-Back,183,left,,Scotland,GB1,2020
814522,taylor-jay hart,18,12,2003,,England,2003-12-18,midfield - Central Midfield,179,right,England,,GB1,2020
381362,wesley,24,11,1996,Juiz de Fora,Brazil,1996-11-24,attack - Centre-Forward,191,right,Brazil,,GB1,2020
425334,matty cash,7,8,1997,Slough,England,1997-08-07,Defender - Right-Back,185,right,,Poland,GB1,2020
183720,anwar el ghazi,3,5,1995,Barendrecht,Netherlands,1995-05-03,attack - Right Winger,189,right,,Morocco,GB1,2020
67416,neil taylor,7,2,1989,St Asaph,Wales,1989-02-07,Defender - Left-Back,176,left,Wales,,GB1,2020
66333,ahmed elmohamady,9,9,1987,Basyoun,Egypt,1987-09-09,Defender - Right-Back,182,right,Egypt,,GB1,2020
741700,frankie ealing,14,7,2004,,England,2004-07-14,Defender - Right-Back,,right,England,,GB1,2020
111873,emiliano martínez,2,9,1992,Mar del Plata,Argentina,1992-09-02,Goalkeeper,195,right,Argentina,,GB1,2020
626888,kaine kesler,23,10,2002,,England,2002-10-23,Defender - Right-Back,175,right,England,,GB1,2020
324358,ollie watkins,30,12,1995,Torquay,England,1995-12-30,attack - Centre-Forward,180,right,England,,GB1,2020
182201,mbwana samatta,23,12,1992,Dar es Salam,Tanzania,1992-12-23,attack - Centre-Forward,183,right,Tanzania,,GB1,2020
131996,bertrand traoré,6,9,1995,Bobo-Dioulasso,Burkina Faso,1995-09-06,attack - Right Winger,181,left,Burkina Faso,,GB1,2020
44794,henri lansbury,12,10,1990,London,England,1990-10-12,midfield - Central Midfield,183,right,England,,GB1,2020
412660,keinan davis,13,2,1998,Stevenage,England,1998-02-13,attack - Centre-Forward,189,left,England,,GB1,2020
193116,john mcginn,18,10,1994,Glasgow,Scotland,1994-10-18,midfield - Central Midfield,178,left,Scotland,,GB1,2020
698637,arjan raikhy,20,10,2002,,England  India,2002-10-20,midfield - Central Midfield,,,,India,GB1,2020
203460,jack grealish,10,9,1995,Birmingham,England,1995-09-10,attack - Left Winger,180,right,,Ireland,GB1,2020
530223,mungo bridge,12,9,2000,,England,2000-09-12,Defender - Centre-Back,,,England,,GB1,2020
193469,björn engels,15,9,1994,Kaprijke,Belgium,1994-09-15,Defender - Centre-Back,194,right,Belgium,,GB1,2020
530222,michael tait,29,1,2001,Birmingham,England,2001-01-29,attack - Centre-Forward,177,right,England,,GB1,2020
654173,brad young,6,1,2003,,England,2003-01-06,attack - Centre-Forward,185,,England,,GB1,2020
654177,mamadou sylla,26,1,2003,Barcelona,Spain,2003-01-26,midfield - Defensive Midfield,179,,,Spain,GB1,2020
645686,lamare bogarde,5,1,2004,Rotterdam,Netherlands,2004-01-05,midfield - Defensive Midfield,,right,,Suriname,GB1,2020
131978,ross barkley,5,12,1993,Liverpool,England,1993-12-05,midfield - Central Midfield,185,right,,Nigeria,GB1,2020
110867,jed steer,23,9,1992,Norwich,England,1992-09-23,Goalkeeper,182,left,,Scotland,GB1,2020
731738,edward rowe,17,10,2003,,England,2003-10-17,midfield - Central Midfield,,,England,,GB1,2020
357662,declan rice,14,1,1999,London,England,1999-01-14,midfield - Defensive Midfield,185,right,,Ireland,GB1,2020
141660,jesse lingard,15,12,1992,Warrington,England,1992-12-15,midfield - Attacking Midfield,174,right,England,,GB1,2020
181380,arthur masuaku,7,11,1993,Lille,France,1993-11-07,Defender - Left-Back,179,left,,France,GB1,2020
285548,fabián balbuena,23,8,1991,Ciudad del Este,Paraguay,1991-08-23,Defender - Centre-Back,188,right,Paraguay,,GB1,2020
92571,aaron cresswell,15,12,1989,Liverpool,England,1989-12-15,Defender - Left-Back,170,left,England,,GB1,2020
655880,ademipo odubeko,21,10,2002,Tallaght,Ireland,2002-10-21,attack - Centre-Forward,181,right,,Nigeria,GB1,2020
290532,saïd benrahma,10,8,1995,Aïn Témouchent,Algeria,1995-08-10,attack - Left Winger,172,right,,France,GB1,2020
314875,jarrod bowen,20,12,1996,Leominster,England,1996-12-20,attack - Right Winger,175,left,,Wales,GB1,2020
157672,vladimir coufal,22,8,1992,Ostrava,CSSR,1992-08-22,Defender - Right-Back,179,right,Czech Republic,,GB1,2020
504386,emmanuel longelo,27,12,2000,,England  DR Congo,2000-12-27,Defender - Left-Back,,,,DR Congo,GB1,2020
468002,ben johnson,24,1,2000,London,England,2000-01-24,Defender - Right-Back,175,right,England,,GB1,2020
15930,david martin,22,1,1986,London,England,1986-01-22,Goalkeeper,188,right,England,,GB1,2020
51321,darren randolph,12,5,1987,Bray,Ireland,1987-05-12,Goalkeeper,187,right,,United States,GB1,2020
37526,winston reid,3,7,1988,Auckland,New Zealand,1988-07-03,Defender - Centre-Back,191,right,,Denmark,GB1,2020
502065,aji alese,17,1,2001,London,England,2001-01-17,Defender - Centre-Back,192,left,,Nigeria,GB1,2020
121477,craig dawson,6,5,1990,Rochdale,England,1990-05-06,Defender - Centre-Back,188,right,England,,GB1,2020
431422,nathan trott,21,11,1998,,England  Bermuda,1998-11-21,Goalkeeper,188,left,,Bermuda,GB1,2020
242606,josh cullen,7,4,1996,Westcliff-on-Sea,England,1996-04-07,midfield - Central Midfield,175,right,,England,GB1,2020
181375,sébastien haller,22,6,1994,Ris-Orangis,France,1994-06-22,attack - Centre-Forward,190,right,,France,GB1,2020
104124,michail antonio,28,3,1990,London,England,1990-03-28,attack - Centre-Forward,180,right,,England,GB1,2020
22614,robert snodgrass,7,9,1987,Glasgow,Scotland,1987-09-07,attack - Right Winger,182,left,Scotland,,GB1,2020
48002,angelo ogbonna,23,5,1988,Cassino,Italy,1988-05-23,Defender - Centre-Back,191,left,,Nigeria,GB1,2020
272622,issa diop,9,1,1997,Toulouse,France,1997-01-09,Defender - Centre-Back,194,right,,Senegal,GB1,2020
542690,frederik alves,8,11,1999,Hvidovre,Denmark,1999-11-08,Defender - Centre-Back,195,right,,Brazil,GB1,2020
419025,conor coventry,25,3,2000,London,England,2000-03-25,midfield - Defensive Midfield,177,right,,England,GB1,2020
74223,jack wilshere,1,1,1992,Stevenage,England,1992-01-01,midfield - Central Midfield,172,left,England,,GB1,2020
135853,manuel lanzini,15,2,1993,Ituzaingó,Argentina,1993-02-15,midfield - Attacking Midfield,167,right,,Italy,GB1,2020
31835,mark noble,8,5,1987,London,England,1987-05-08,midfield - Central Midfield,180,right,,Ireland,GB1,2020
258011,xande silva,16,3,1997,Porto,Portugal,1997-03-16,attack - Right Winger,177,right,,Angola,GB1,2020
140191,ryan fredericks,10,10,1992,Potters Bar,England,1992-10-10,Defender - Right-Back,181,right,,Scotland,GB1,2020
610706,jamal baptiste,11,11,2003,,England,2003-11-11,Defender - Centre-Back,,,England,,GB1,2020
337321,nathan holland,19,6,1998,Manchester,England,1998-06-19,attack - Left Winger,176,right,,Barbados,GB1,2020
29692,lukasz fabianski,18,4,1985,Kostrzyn nad Odrą,Poland,1985-04-18,Goalkeeper,190,right,Poland,,GB1,2020
159372,felipe anderson,15,4,1993,Brasília,Brazil,1993-04-15,attack - Left Winger,175,right,Brazil,,GB1,2020
283628,tomas soucek,27,2,1995,Havlíčkův Brod,Czech Republic,1995-02-27,midfield - Defensive Midfield,192,right,Czech Republic,,GB1,2020
357885,pablo fornals,22,2,1996,Castelló de la Plana,Spain,1996-02-22,midfield - Attacking Midfield,178,right,Spain,,GB1,2020
559130,harrison ashby,14,11,2001,,Scotland,2001-11-14,Defender - Right-Back,,right,Scotland,,GB1,2020
69015,andriy yarmolenko,23,10,1989,Leningrad,UdSSR,1989-10-23,attack - Right Winger,189,left,Ukraine,,GB1,2020
487850,oladapo afolayan,12,2,1997,London,England,1997-02-12,attack - Centre-Forward,180,right,,Nigeria,GB1,2020
288255,donny van de beek,18,4,1997,Nijkerkerveen,Netherlands,1997-04-18,midfield - Central Midfield,184,right,Netherlands,,GB1,2020
191614,fred,5,3,1993,Belo Horizonte,Brazil,1993-03-05,midfield - Central Midfield,169,left,Brazil,,GB1,2020
122153,paul pogba,15,3,1993,Lagny-sur-Marne,France,1993-03-15,midfield - Central Midfield,191,both,France,,GB1,2020
640245,will fish,17,2,2003,Manchester,England,2003-02-17,Defender - Centre-Back,186,right,England,,GB1,2020
184573,victor lindelöf,17,7,1994,Västerås,Sweden,1994-07-17,Defender - Centre-Back,187,right,Sweden,,GB1,2020
258923,marcus rashford,31,10,1997,Manchester,England,1997-10-31,attack - Left Winger,185,right,England,,GB1,2020
676318,facundo pellistri,20,12,2001,Montevideo,Uruguay,2001-12-20,attack - Right Winger,174,right,,Spain,GB1,2020
13460,lee grant,27,1,1983,Hemel Hempstead,England,1983-01-27,Goalkeeper,193,right,England,,GB1,2020
44068,juan mata,28,4,1988,Burgos,Spain,1988-04-28,midfield - Attacking Midfield,170,left,Spain,,GB1,2020
315131,timothy fosu-mensah,2,1,1998,Amsterdam,Netherlands,1998-01-02,Defender - Right-Back,185,right,,Ghana,GB1,2020
286384,eric bailly,12,4,1994,Bingerville,Cote d'Ivoire,1994-04-12,Defender - Centre-Back,187,right,Cote d'Ivoire,,GB1,2020
59377,david de gea,7,11,1990,Madrid,Spain,1990-11-07,Goalkeeper,189,right,Spain,,GB1,2020
583189,anthony elanga,27,4,2002,Hyllie,Sweden,2002-04-27,attack - Left Winger,178,right,,Cameroon,GB1,2020
357147,diogo dalot,18,3,1999,Braga,Portugal,1999-03-18,Defender - Right-Back,183,right,Portugal,,GB1,2020
182877,anthony martial,5,12,1995,Massy,France,1995-12-05,attack - Centre-Forward,181,right,,Guadeloupe,GB1,2020
433991,ethan galbraith,11,5,2001,Belfast,Northern Ireland,2001-05-11,midfield - Central Midfield,175,right,Northern Ireland,,GB1,2020
117996,phil jones,21,2,1992,Preston,England,1992-02-21,Defender - Centre-Back,185,right,England,,GB1,2020
240306,bruno fernandes,8,9,1994,Maia,Portugal,1994-09-08,midfield - Attacking Midfield,179,right,Portugal,,GB1,2020
319301,daniel james,10,11,1997,Beverley,England,1997-11-10,attack - Left Winger,170,right,,England,GB1,2020
255755,alex telles,15,12,1992,Caxias do Sul,Brazil,1992-12-15,Defender - Left-Back,181,left,,Italy,GB1,2020
183288,luke shaw,12,7,1995,Kingston upon Thames,England,1995-07-12,Defender - Left-Back,185,left,England,,GB1,2020
48280,edinson cavani,14,2,1987,Salto,Uruguay,1987-02-14,attack - Centre-Forward,184,right,,Italy,GB1,2020
342046,axel tuanzebe,14,11,1997,Bunia,DR Congo,1997-11-14,Defender - Centre-Back,185,right,,DR Congo,GB1,2020
532826,mason greenwood,1,10,2001,Bradford,England,2001-10-01,attack - Right Winger,181,both,England,,GB1,2020
536835,amad diallo,11,7,2002,Abidjan,Cote d'Ivoire,2002-07-11,attack - Right Winger,173,left,,Italy,GB1,2020
495033,nathan bishop,15,10,1999,Hillingdon,England,1999-10-15,Goalkeeper,185,right,England,,GB1,2020
507700,brandon williams,3,9,2000,Crumpsall,England,2000-09-03,Defender - Left-Back,180,right,England,,GB1,2020
640026,shola shoretire,2,2,2004,Newcastle,England,2004-02-02,attack - Left Winger,171,right,,Nigeria,GB1,2020
30690,sergio romero,22,2,1987,Bernardo de Irigoyen,Argentina,1987-02-22,Goalkeeper,192,right,,Italy,GB1,2020
607224,hannibal mejbri,21,1,2003,Ivry-sur-Seine,France,2003-01-21,midfield - Attacking Midfield,184,right,,France,GB1,2020
192611,joel pereira,28,6,1996,Le Locle,Switzerland,1996-06-28,Goalkeeper,189,right,,Switzerland,GB1,2020
62121,odion ighalo,16,6,1989,Lagos,Nigeria,1989-06-16,attack - Centre-Forward,181,right,,Italy,GB1,2020
548470,teden mengi,30,4,2002,Manchester,England,2002-04-30,Defender - Centre-Back,186,right,,Angola,GB1,2020
477758,aaron wan-bissaka,26,11,1997,London,England,1997-11-26,Defender - Right-Back,183,right,,DR Congo,GB1,2020
258919,dean henderson,12,3,1997,Whitehaven,England,1997-03-12,Goalkeeper,188,right,England,,GB1,2020
74683,nemanja matic,1,8,1988,Šabac,Jugoslawien (SFR),1988-08-01,midfield - Defensive Midfield,194,left,,Slovakia,GB1,2020
177907,harry maguire,5,3,1993,Sheffield,England,1993-03-05,Defender - Centre-Back,194,right,England,,GB1,2020
315969,scott mctominay,8,12,1996,Lancaster,England,1996-12-08,midfield - Central Midfield,191,right,,England,GB1,2020
245625,alex palmer,10,8,1996,Kidderminster,England,1996-08-10,Goalkeeper,191,right,England,,GB1,2020
351755,darnell furlong,31,10,1995,Luton,England,1995-10-31,Defender - Right-Back,183,right,,Montserrat,GB1,2020
261988,filip krovinovic,29,8,1995,Zagreb,Croatia,1995-08-29,midfield - Attacking Midfield,175,right,Croatia,,GB1,2020
696589,tim iroegbunam,12,8,2002,,England,2002-08-12,midfield - Central Midfield,,,England,,GB1,2020
77274,matt phillips,13,3,1991,Aylesbury,England,1991-03-13,attack - Right Winger,183,right,,England,GB1,2020
183299,callum robinson,2,2,1995,Northampton,England,1995-02-02,attack - Centre-Forward,178,right,,England,GB1,2020
38094,lee peltier,11,12,1986,Liverpool,England,1986-12-11,Defender - Right-Back,178,right,,Antigua and Barbuda,GB1,2020
130768,jonathan bond,19,5,1993,Hemel Hempstead,England,1993-05-19,Goalkeeper,193,right,,England,GB1,2020
592988,cheikh diaby,7,3,2000,Créteil,France,2000-03-07,attack - Centre-Forward,,right,,Senegal,GB1,2020
37920,kamil grosicki,8,6,1988,Szczecin,Poland,1988-06-08,attack - Left Winger,180,right,Poland,,GB1,2020
401320,dara o'shea,4,3,1999,Dublin,Ireland,1999-03-04,Defender - Centre-Back,189,right,Ireland,,GB1,2020
67421,kyle bartley,22,5,1991,Stockport,England,1991-05-22,Defender - Centre-Back,194,right,,Jamaica,GB1,2020
