player_id,current_club,current_club_country,market_value,joined,contract_expires,contract_option,on_loan_from,on_loan_from_country,loan_contract_expiry,player_agent,league_code,season
342209,fc metz,france,2500000,2020-07-01,2024-06-30,,,,,Pinnacle Global Advisors LLP,FR1,2021
413118,fc metz,france,2200000,2021-08-12,2023-06-30,Option to buy,ea guingamp,france,2022-06-30,Sport Avenir Management International,FR1,2021
205587,fc metz,france,4500000,2016-07-01,2022-06-30,,,,,ND SPORTS MANAGEMENT,FR1,2021
649020,fc metz,france,150000,2019-08-22,2024-06-30,,,,,forward management s.a.r.l,FR1,2021
293944,fc metz,france,5500000,2019-07-01,2024-06-30,,,,,Global 11,FR1,2021
353211,fc metz,france,3500000,2020-07-02,2024-06-30,,,,,SPS//YSP,FR1,2021
506009,fc metz,france,2000000,2021-07-01,2025-06-30,,,,,Classico Sports Management,FR1,2021
743500,fc metz,france,200000,2021-07-01,2024-06-30,,,,,Agent is known - Player under 18,FR1,2021
344886,fc metz,france,2500000,2015-07-01,2024-06-30,,,,,StarFactory,FR1,2021
815359,fc metz,france,200000,2021-07-01,2024-06-30,,,,,,FR1,2021
568701,fc metz,france,3000000,2020-07-01,2024-06-30,,,,,Wasserman,FR1,2021
729814,fc metz,france,1200000,2020-07-01,2025-06-30,,,,,,FR1,2021
211637,fc metz,france,6000000,2020-08-25,2024-06-30,,,,,Mondo Victory,FR1,2021
568702,fc metz,france,3000000,2019-07-01,2024-06-30,,,,,World Elites,FR1,2021
126699,fc metz,france,1500000,2020-07-01,2022-06-30,,,,,M FOOT,FR1,2021
434358,fc metz,france,2000000,2021-07-21,2025-06-30,,,,,,FR1,2021
384859,fc metz,france,8000000,2019-07-01,2024-06-30,,,,,,FR1,2021
620315,fc metz,france,500000,2020-07-01,2023-06-30,,,,,SVF FOOT,FR1,2021
202318,fc metz,france,5500000,2018-07-01,2022-06-30,,,,,VV Consulting,FR1,2021
490417,fc metz,france,9000000,2017-07-01,2024-06-30,,,,,World Elites,FR1,2021
127075,fc metz,france,300000,2019-07-01,2022-06-30,,,,,USM GROUP,FR1,2021
205465,fc metz,france,1000000,2020-07-20,2022-06-30,,,,,,FR1,2021
591914,fc metz,france,1500000,2020-07-23,2024-06-30,,,,,FS Management,FR1,2021
568696,fc metz,france,1000000,2018-07-01,2022-06-30,,,,,Wasserman,FR1,2021
56809,fc metz,france,2500000,2018-07-01,2023-06-30,,,,,SAS ASSIST & GOAL,FR1,2021
450417,fc metz,france,6000000,2020-01-03,2024-06-30,,,,,Creative & Management Group,FR1,2021
666975,fc metz,france,150000,2021-07-01,2025-06-30,,,,,,FR1,2021
170961,fc metz,france,1800000,2018-08-30,2022-06-30,,,,,Léandre Chouya,FR1,2021
568693,fc metz,france,10000000,2021-08-28,2026-06-30,,tottenham hotspur,england,2022-06-30,,FR1,2021
730581,stade rennais fc,france,12000000,2021-07-05,2026-06-30,,,,,W.Egal O.S.F.M.,FR1,2021
297070,stade rennais fc,france,8000000,2017-07-01,2023-06-30,,,,,B.C Football Agency,FR1,2021
266359,stade rennais fc,france,15000000,2017-07-01,2023-06-30,,,,,,FR1,2021
285323,stade rennais fc,france,15000000,2021-08-17,2025-06-30,,,,,Sport Profile,FR1,2021
23974,stade rennais fc,france,500000,2019-07-01,2022-06-30,,,,,Relatives,FR1,2021
711969,stade rennais fc,france,500000,2021-07-01,2025-06-30,,,,,TTMA,FR1,2021
486049,stade rennais fc,france,26000000,2020-10-05,2025-06-30,,,,,ICM Stellar Sports,FR1,2021
378953,stade rennais fc,france,3500000,2018-07-01,2024-06-30,,,,,Wasserman,FR1,2021
357072,stade rennais fc,france,12000000,2017-07-01,2022-06-30,,,,,Classico Sports Management,FR1,2021
