club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Real Sociedad,Mattias Asper,26,Goalkeeper,AIK,£2.43m,in,Summer,2.43,Primera Division,2000,2000/2001
Real Sociedad,Tayfun Korkut,26,Right Midfield,Fenerbahce,Free transfer,in,Summer,0,Primera Division,2000,2000/2001
Real Sociedad,Arif Erdem,28,Centre-Forward,Galatasaray,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Sociedad,Frédéric Peiremans,26,Defensive Midfield,Twente FC,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Sociedad,Stéphane Collet,28,Right Midfield,Lens,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Sociedad,Igor Gabilondo,21,Left Midfield,Real Sociedad B,-,in,Summer,0,Primera Division,2000,2000/2001
Real Sociedad,Xabi Alonso,18,Defensive Midfield,R. Sociedad U19,-,in,Summer,0,Primera Division,2000,2000/2001
Real Sociedad,Dietmar Kühbauer,29,Central Midfield,VfL Wolfsburg,Free transfer,out,Summer,0,Primera Division,2000,2000/2001
Real Sociedad,Xabi Alonso,18,Defensive Midfield,SD Eibar,Loan,out,Summer,0,Primera Division,2000,2000/2001
Real Sociedad,Ricardo Sá Pinto,27,Second Striker,Sporting CP,?,out,Summer,NA,Primera Division,2000,2000/2001
Real Sociedad,Joseba Llorente,20,Centre-Forward,SD Eibar,Loan,out,Summer,0,Primera Division,2000,2000/2001
Real Sociedad,José Javier Barkero,21,Attacking Midfield,Toulouse,Loan,out,Summer,0,Primera Division,2000,2000/2001
Real Sociedad,Juan Gómez,29,Defender,Atlético Madrid,?,out,Summer,NA,Primera Division,2000,2000/2001
Real Sociedad,Iker Sarriegi,26,Centre-Back,Retired,-,out,Summer,0,Primera Division,2000,2000/2001
Real Oviedo,Milan Martinovic,20,Centre-Back,Rad,Free transfer,in,Summer,0,Primera Division,2000,2000/2001
Real Oviedo,Oli,28,Centre-Forward,Real Betis,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Gaspar Gálvez,20,Centre-Back,Atlético Madrid,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Veljko Paunovic,22,Centre-Forward,Atlético Madrid,Loan,in,Summer,0,Primera Division,2000,2000/2001
Real Oviedo,Pedro Dorronsoro,23,Goalkeeper,Torre,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Rubén Suárez,24,Forward,SD Eibar,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Ivo,22,Defender,Unknown,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Ivo,22,Midfielder,Atlético Madrid,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Djordje Tomic,27,Central Midfield,Partizan,?,in,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Joyce Moreno,25,Defender,CD Leganés,"End of loanJun 30, 2000",in,Summer,0,Primera Division,2000,2000/2001
Real Oviedo,Julio Dely Valdés,33,Centre-Forward,Málaga CF,Free transfer,out,Summer,0,Primera Division,2000,2000/2001
Real Oviedo,Paulo Bento,31,Defensive Midfield,Sporting CP,?,out,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Óscar Álvarez,23,Centre-Back,UE Lleida,Loan,out,Summer,0,Primera Division,2000,2000/2001
Real Oviedo,Roberto Pompei,30,Left Midfield,Estudiantes,?,out,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Iván Iglesias,28,Central Midfield,Rayo Vallecano,?,out,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Nacho Rodríguez,17,Centre-Forward,Racing B,?,out,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Mateo Corbo,24,Left-Back,Barnsley FC,?,out,Summer,NA,Primera Division,2000,2000/2001
Real Oviedo,Xabier Eskurza,30,Central Midfield,Retired,-,out,Summer,0,Primera Division,2000,2000/2001
CD Numancia,Carlos Aranda,19,Centre-Forward,Real Madrid B,Free transfer,in,Summer,0,Primera Division,2000,2000/2001
CD Numancia,Laurentiu Rosu,24,Forward,Steaua Bukarest,Free transfer,in,Summer,0,Primera Division,2000,2000/2001
CD Numancia,Curro Montoya,23,Defensive Midfield,Valencia B,Free transfer,in,Summer,0,Primera Division,2000,2000/2001
CD Numancia,José Antonio Culebras,21,Centre-Back,CD Toledo,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Claudio Javier Marini,28,Defensive Midfield,CA Colón,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Iñaki Hurtado,28,Midfielder,CD Logroñés,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Rafael Clavero,23,Left-Back,Real Madrid B,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Manel,29,Right-Back,Dep. La Coruña,Loan,in,Summer,0,Primera Division,2000,2000/2001
CD Numancia,Miguel Ángel Soria,26,Defender,Valencia,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Iván Pérez,24,Centre-Forward,Dep. La Coruña,Loan,in,Summer,0,Primera Division,2000,2000/2001
CD Numancia,Gustavo,24,Defender,Atlético Madrid,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Dani Mayo,27,Centre-Back,UD Alzira,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,David Pirri,26,Left Midfield,UD Las Palmas,?,in,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Alberto Belsué,32,Right-Back,Iraklis,Free transfer,out,Summer,0,Primera Division,2000,2000/2001
CD Numancia,Fabrice Moreau,32,Midfielder,Airdrie,Free transfer,out,Summer,0,Primera Division,2000,2000/2001
CD Numancia,Roberto Urroz,25,Goalkeeper,Calahorra,?,out,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Jorge Pérez,24,Central Midfield,CF Extremadura,?,out,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Jorge Delgado,24,Centre-Forward,Nacional,?,out,Summer,NA,Primera Division,2000,2000/2001
CD Numancia,Javier Castaño,27,Central Midfield,Real Betis,?,out,Summer,NA,Primera Division,2000,2000/2001
