club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
SC Bastia,Luka Kikabidze,19,Left Midfield,FC Locomotive,£90Th.,in,Summer,0.09,Ligue 1,2014,2014/2015
SC Bastia,Christopher Maboulou,24,Centre-Forward,LB Châteauroux,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Hervin Ongenda,19,Left Winger,Paris SG,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Florian Marange,28,Left-Back,FC Sochaux,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Joao Rodríguez,18,Centre-Forward,Chelsea U21,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,El-Hadji Ba,21,Defensive Midfield,Sunderland,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Juan Pablo Pino,27,Right Winger,Olympiacos,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Brandão,34,Centre-Forward,Saint-Étienne,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Guillaume Gillet,30,Defensive Midfield,RSC Anderlecht,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Alphonse Areola,21,Goalkeeper,Paris SG,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Mathieu Peybernes,23,Centre-Back,FC Sochaux,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Floyd Ayité,25,Left Winger,Stade Reims,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Junior Tallo,21,Centre-Forward,AS Roma,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Apodi,27,Right-Back,Querétaro FC,?,in,Summer,NA,Ligue 1,2014,2014/2015
SC Bastia,Benjamin Mokulu,24,Centre-Forward,KV Mechelen,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Romain Achilli,21,Left-Back,SC Bastia B,-,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Abdoulaye Keita,20,Defensive Midfield,SC Bastia B,-,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Joseph Barbato,19,Centre-Forward,SC Bastia B,-,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Famoussa Kone,20,Centre-Forward,SC Bastia B,-,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,François Kamano,18,Left Winger,SC Bastia B,-,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Cyril Fogacci,17,Goalkeeper,SC Bastia U19,-,in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Christophe Vincent,21,Defensive Midfield,CA Bastia,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Matthieu Sans,26,Centre-Back,G. Ajaccio,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Florent André,23,Left Winger,GS Consolat M.,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Wahbi Khazri,23,Centre-Forward,G. Bordeaux,£1.80m,out,Summer,1.8,Ligue 1,2014,2014/2015
SC Bastia,Féthi Harek,31,Left-Back,Nîmes Olympique,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Joseph Barbato,20,Centre-Forward,US Colomiers,Loan,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Matthieu Sans,26,Centre-Back,Chamois Niort,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Adama Ba,20,Right Winger,Chamois Niort,Loan,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Toifilou Maoulida,35,Centre-Forward,Nîmes Olympique,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Apodi,27,Right-Back,Without Club,-,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Florent André,23,Left Winger,Without Club,-,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Maka Mary,25,Centre-Back,Without Club,-,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Mickaël Landreau,35,Goalkeeper,Retired,-,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Ilan,33,Centre-Forward,Retired,-,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Julien Sablé,33,Defensive Midfield,Retired,-,out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Hervin Ongenda,20,Left Winger,Paris SG,"End of loanJun 30, 2015",out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Florian Raspentino,25,Centre-Forward,Marseille,"End of loanJun 30, 2014",out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Gianni Bruno,22,Centre-Forward,LOSC Lille,"End of loanJun 30, 2014",out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Milos Krasic,29,Right Winger,Fenerbahce,"End of loanJun 30, 2014",out,Summer,0,Ligue 1,2014,2014/2015
SC Bastia,Sambou Yatabaré,25,Central Midfield,Olympiacos,"End of loanJun 30, 2014",out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Wahbi Khazri,23,Centre-Forward,SC Bastia,£1.80m,in,Summer,1.8,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Diego Contento,24,Left-Back,Bayern Munich,£900Th.,in,Summer,0.9,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Nicolas Pallois,26,Centre-Back,Chamois Niort,£450Th.,in,Summer,0.45,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Tiago Ilori,21,Centre-Back,Liverpool,Loan,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Jérôme Prior,18,Goalkeeper,G. Bordeaux B,-,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,David Djigla,18,Left Midfield,G. Bordeaux B,-,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Théo Pellenard,20,Left-Back,G. Bordeaux B,-,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Clément Badin,21,Defensive Midfield,G. Bordeaux B,-,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Thomas Touré,20,Left Winger,G. Bordeaux B,-,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Gaëtan Laborde,20,Centre-Forward,G. Bordeaux B,-,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Valentín Vada,18,Central Midfield,G. Bordeaux B,-,in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Emiliano Sala,23,Centre-Forward,Chamois Niort,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Jaroslav Plasil,32,Central Midfield,Catania,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Hadi Sacko,20,Right Winger,AC Le Havre,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Vujadin Savic,23,Centre-Back,Arm. Bielefeld,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Lucas Orbán,25,Centre-Back,Valencia,£3.15m,out,Summer,3.15,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Hadi Sacko,20,Right Winger,Sporting B,£900Th.,out,Summer,0.9,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Henrique,31,Centre-Back,Fluminense,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,David Bellion,31,Centre-Forward,Red Star FC,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Kévin Olimpa,26,Goalkeeper,Platanias,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Gaëtan Laborde,20,Centre-Forward,Stade Brest 29,Loan,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Guillaume Hoarau,30,Centre-Forward,BSC Young Boys,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Jérémie Bréchet,35,Centre-Back,G. Ajaccio,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Landry N'Guémo,28,Defensive Midfield,Without Club,-,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Matthieu Chalmé,33,Right-Back,Career break,-,out,Summer,0,Ligue 1,2014,2014/2015
FC Girondins Bordeaux,Vujadin Savic,24,Centre-Back,Without Club,-,out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Florian Raspentino,25,Centre-Forward,Marseille,£450Th.,in,Summer,0.45,Ligue 1,2014,2014/2015
SM Caen,Damien Da Silva,26,Centre-Back,Clermont Foot,£270Th.,in,Summer,0.27,Ligue 1,2014,2014/2015
SM Caen,Hervé Bazile,24,Left Winger,Poiré-sur-Vie,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Jordan Adéoti,25,Defensive Midfield,Stade Lavallois,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Rémy Vercoutre,34,Goalkeeper,Olympique Lyon,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Julien Féret,31,Attacking Midfield,Stade Rennais,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Sloan Privat,24,Centre-Forward,KAA Gent,Loan,in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Emmanuel Imorou,25,Left-Back,Clermont Foot,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Alaeddine Yahia,33,Centre-Back,Lens,Free transfer,in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Yrondu Musavu-King,22,Centre-Back,ES Uzès PdG,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Yannick M'Bone,21,Centre-Back,Fréjus-St-Raph.,"End of loanJun 30, 2014",in,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Fayçal Fajr,25,Central Midfield,Elche CF,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Thomas Bosmel,26,Goalkeeper,AC Arles,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Aurélien Montaroup,28,Left-Back,US Créteil,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Molla Wagué,23,Centre-Back,Granada CF,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Laurent Karim Agouazi,30,Defensive Midfield,Atromitos Athen,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Yannick M'Bone,21,Centre-Back,Fréjus-St-Raph.,Free transfer,out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Kyeong-jung Kim,23,Right Winger,FC Olympic,"End of loanJun 30, 2014",out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Jonathan Kodjia,24,Centre-Forward,Stade Reims,"End of loanJun 30, 2014",out,Summer,0,Ligue 1,2014,2014/2015
SM Caen,Mathias Autret,23,Attacking Midfield,FC Lorient,"End of loanJun 30, 2014",out,Summer,0,Ligue 1,2014,2014/2015
FC Évian Thonon Gaillard,Nicki Bille Nielsen,26,Centre-Forward,Rosenborg BK,£1.80m,in,Summer,1.8,Ligue 1,2014,2014/2015
FC Évian Thonon Gaillard,Benjamin Leroy,25,Goalkeeper,Tours FC,£225Th.,in,Summer,0.225,Ligue 1,2014,2014/2015
FC Évian Thonon Gaillard,Fabien Camus,29,Attacking Midfield,KRC Genk,Loan,in,Summer,0,Ligue 1,2014,2014/2015
