club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Manchester United,Cristiano Ronaldo,18,Left Winger,Sporting CP,£17.10m,in,Summer,17.1,Premier League,2003,2003/2004
Manchester United,Kléberson,24,Central Midfield,Atlético-PR,£7.74m,in,Summer,7.74,Premier League,2003,2003/2004
Manchester United,Eric Djemba Djemba,22,Defensive Midfield,FC Nantes,£4.05m,in,Summer,4.05,Premier League,2003,2003/2004
Manchester United,Tim Howard,24,Goalkeeper,MetroStars,£2.88m,in,Summer,2.88,Premier League,2003,2003/2004
Manchester United,David Bellion,20,Centre-Forward,Sunderland,£2.70m,in,Summer,2.7,Premier League,2003,2003/2004
Manchester United,Danny Byrne,18,Defender,Unknown,?,in,Summer,NA,Premier League,2003,2003/2004
Manchester United,Bojan Djordjic,22,Left Winger,Red Star,"End of loanMay 31, 2004",in,Summer,0,Premier League,2003,2003/2004
Manchester United,Hussein Yasser,21,Attacking Midfield,Royal Antwerp,"End of loanMay 3, 2004",in,Summer,0,Premier League,2003,2003/2004
Manchester United,Phil Bardsley,18,Right-Back,Royal Antwerp,"End of loanMay 25, 2004",in,Summer,0,Premier League,2003,2003/2004
Manchester United,Eddie Johnson,19,Centre-Forward,Royal Antwerp,"End of loanMay 1, 2004",in,Summer,0,Premier League,2003,2003/2004
Manchester United,Luke Chadwick,23,Attacking Midfield,Burnley,"End of loanMay 1, 2004",in,Summer,0,Premier League,2003,2003/2004
Manchester United,Phil Bardsley,18,Right-Back,Man Utd U18,-,in,Summer,0,Premier League,2003,2003/2004
Manchester United,David Jones,18,Midfielder,Man Utd U18,-,in,Summer,0,Premier League,2003,2003/2004
Manchester United,Chris Eagles,17,Right Winger,Man Utd U18,-,in,Summer,0,Premier League,2003,2003/2004
Manchester United,Adam Eckersley,17,Left-Back,Man Utd U18,-,in,Summer,0,Premier League,2003,2003/2004
Manchester United,Phil Marsh,16,Centre-Forward,Man Utd U18,-,in,Summer,0,Premier League,2003,2003/2004
Manchester United,Neil Wood,21,Central Midfield,Burnley,"End of loanMay 1, 2004",in,Summer,0,Premier League,2003,2003/2004
Manchester United,David Beckham,28,Right Midfield,Real Madrid,£33.75m,out,Summer,33.75,Premier League,2003,2003/2004
Manchester United,Juan Sebastián Verón,28,Central Midfield,Chelsea,£19.35m,out,Summer,19.35,Premier League,2003,2003/2004
Manchester United,David May,33,Centre-Back,Burnley,Free transfer,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Alan Tate,21,Centre-Back,Swansea,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Neil Wood,20,Central Midfield,Peterborough,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Eddie Johnson,18,Centre-Forward,Royal Antwerp,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Bojan Djordjic,21,Left Winger,Red Star,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Luke Chadwick,22,Attacking Midfield,Burnley,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Danny Webber,21,Centre-Forward,Watford,Free transfer,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Souleymane Mamam,18,Defensive Midfield,Royal Antwerp,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Michael Stewart,22,Central Midfield,Nottm Forest,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Lee Roche,22,Right-Back,Burnley,Free transfer,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Kirk Hilton,22,Centre-Back,Blackpool,Free transfer,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Ricardo,31,Goalkeeper,Racing,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Colin Heath,19,Centre-Forward,Royal Antwerp,Loan,out,Summer,0,Premier League,2003,2003/2004
Manchester United,Jimmy Davis,21,Left Winger,Watford,?,out,Summer,NA,Premier League,2003,2003/2004
Manchester United,Kalam Mooniaruck,19,Forward,Braintree,?,out,Summer,NA,Premier League,2003,2003/2004
Manchester United,Laurent Blanc,37,Sweeper,Retired,-,out,Summer,0,Premier League,2003,2003/2004
Arsenal FC,Philippe Senderos,18,Centre-Back,Servette FC,£3.19m,in,Summer,3.19,Premier League,2003,2003/2004
Arsenal FC,Jens Lehmann,33,Goalkeeper,Bor. Dortmund,£3.15m,in,Summer,3.15,Premier League,2003,2003/2004
Arsenal FC,Cesc Fàbregas,16,Central Midfield,Barça U16,£2.88m,in,Summer,2.88,Premier League,2003,2003/2004
Arsenal FC,Gaël Clichy,18,Left-Back,Cannes,£338Th.,in,Summer,0.338,Premier League,2003,2003/2004
Arsenal FC,Daniel Karbassiyoon,18,Left-Back,Roanoke Star,Free transfer,in,Summer,0,Premier League,2003,2003/2004
