club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Cardiff City,Garry Thompson,33,Forward,QPR,Free Transfer,in,0,Championship,1993,1993/1994
Cardiff City,Steve Williams,18,Goalkeeper,Coventry,Free Transfer,in,0,Championship,1993,1993/1994
Cardiff City,Kevin Brock,31,Midfielder,Newcastle,Loan,in,0,Championship,1993,1993/1994
Cardiff City,Terry Evans,17,Right-Back,Unknown,?,in,NA,Championship,1993,1993/1994
Cardiff City,Alan Knill,28,Centre-Back,Bury,Loan,in,0,Championship,1993,1993/1994
Cardiff City,Nathan Blake,21,Centre-Forward,Sheffield Utd.,£378k,out,0.378,Championship,1993,1993/1994
Cardiff City,Gavin Ward,23,Goalkeeper,Leicester,£225k,out,0.225,Championship,1993,1993/1994
Cardiff City,Roger Gibbins,38,Central Midfield,Cwmbran,Free Transfer,out,0,Championship,1993,1993/1994
Cardiff City,Andy Gorman,18,Right-Back,Yeovil Town,Free Transfer,out,0,Championship,1993,1993/1994
Cardiff City,Paul Ramsey,31,Defensive Midfield,St. Johnstone,?,out,NA,Championship,1993,1993/1994
Cardiff City,Chris Pike,31,Centre-Forward,Hereford Utd.,?,out,NA,Championship,1993,1993/1994
Cardiff City,Kevin Ratcliffe,33,Centre-Back,Derby,?,out,NA,Championship,1993,1993/1994
Cardiff City,Alan Knill,28,Centre-Back,Bury,"End of loanOct 1, 1993",out,0,Championship,1993,1993/1994
Cardiff City,Kevin Brock,31,Midfielder,Newcastle,"End of loanApr 26, 1994",out,0,Championship,1993,1993/1994
Fulham FC,Paul Mahorn,20,Forward,Spurs,Loan,in,0,Championship,1993,1993/1994
Fulham FC,Terry Angus,27,Centre-Back,Northampt. Town,?,in,NA,Championship,1993,1993/1994
Fulham FC,Robbie Herrera,23,Right-Back,QPR,?,in,NA,Championship,1993,1993/1994
Fulham FC,Gus Hurdle,19,Defender,Dorchester,?,out,NA,Championship,1993,1993/1994
Fulham FC,Mark Newson,32,Defender,Barnet,?,out,NA,Championship,1993,1993/1994
Fulham FC,Junior Lewis,19,Left Winger,Dover Athletic,?,out,NA,Championship,1993,1993/1994
Fulham FC,Paul Mahorn,20,Forward,Spurs,"End of loanMay 31, 1994",out,0,Championship,1993,1993/1994
Huddersfield Town,Steve Francis,29,Goalkeeper,Reading,£203k,in,0.203,Championship,1993,1993/1994
Huddersfield Town,Kevin Blackwell,34,Goalkeeper,Torquay United,Free Transfer,in,0,Championship,1993,1993/1994
Huddersfield Town,Steve Harkness,22,Left-Back,Liverpool,Loan,in,0,Championship,1993,1993/1994
Huddersfield Town,David Currie,31,Forward,Barnsley FC,Loan,in,0,Championship,1993,1993/1994
Huddersfield Town,Andy Williams,30,Midfielder,Notts County,Loan,in,0,Championship,1993,1993/1994
Huddersfield Town,Chris Marsden,24,Left Midfield,Wolves,£405k,out,0.405,Championship,1993,1993/1994
Huddersfield Town,Simon Charlton,21,Centre-Back,Southampton,£315k,out,0.315,Championship,1993,1993/1994
Huddersfield Town,Iwan Roberts,25,Centre-Forward,Leicester,£103k,out,0.103,Championship,1993,1993/1994
Huddersfield Town,Gary Barnett,30,Central Midfield,Leyton Orient,?,out,NA,Championship,1993,1993/1994
Huddersfield Town,Steve Harkness,22,Left-Back,Liverpool,"End of loanOct 25, 1993",out,0,Championship,1993,1993/1994
Huddersfield Town,Andy Williams,31,Midfielder,Notts County,"End of loanSep 30, 1993",out,0,Championship,1993,1993/1994
Leeds United,Brian Deane,25,Centre-Forward,Sheffield Utd.,£3.92m,in,3.92,Championship,1993,1993/1994
Leeds United,John Pemberton,28,Centre-Back,Sheffield Utd.,£282k,in,0.282,Championship,1993,1993/1994
Leeds United,David White,26,Right Winger,Man City,?,in,NA,Championship,1993,1993/1994
Leeds United,David O'Leary,35,Centre-Back,Arsenal,?,in,NA,Championship,1993,1993/1994
Leeds United,Frank Strandli,21,Centre-Forward,Start,"End of loanJul 31, 1993",in,0,Championship,1993,1993/1994
Leeds United,Ray Wallace,24,Defender,Reading,"End of loanMay 31, 1994",in,0,Championship,1993,1993/1994
Leeds United,Mark Ford,17,Midfielder,Leeds U18,-,in,0,Championship,1993,1993/1994
Leeds United,David Batty,25,Defensive Midfield,Blackburn,£3.40m,out,3.4,Championship,1993,1993/1994
Leeds United,David Rocastle,26,Attacking Midfield,Man City,£2.16m,out,2.16,Championship,1993,1993/1994
Leeds United,Dylan Kerr,26,Left-Back,Reading,£795k,out,0.795,Championship,1993,1993/1994
Leeds United,David Kerslake,27,Right-Back,Spurs,£507k,out,0.507,Championship,1993,1993/1994
Leeds United,Lee Chapman,33,Centre-Forward,Portsmouth,£282k,out,0.282,Championship,1993,1993/1994
Leeds United,Frank Strandli,21,Centre-Forward,SK Brann,£135k,out,0.135,Championship,1993,1993/1994
Leeds United,Ray Wallace,24,Defender,Reading,Loan,out,0,Championship,1993,1993/1994
Leeds United,Mervyn Day,38,Goalkeeper,Carlisle United,?,out,NA,Championship,1993,1993/1994
Leeds United,Mel Sterland,32,Right-Back,Boston United,?,out,NA,Championship,1993,1993/1994
Leeds United,Scott Sellars,27,Left Midfield,Newcastle,?,out,NA,Championship,1993,1993/1994
Leeds United,Carl-Steven Shutt,31,Forward,Birmingham,?,out,NA,Championship,1993,1993/1994
West Bromwich Albion,David Smith,25,Attacking Midfield,Birmingham,£99k,in,0.099,Championship,1993,1993/1994
West Bromwich Albion,Paul Edwards,30,Left-Back,Wolves,£80k,in,0.08,Championship,1993,1993/1994
West Bromwich Albion,Paul Williams,24,Defender,Coventry,Loan,in,0,Championship,1993,1993/1994
West Bromwich Albion,Neil Cutler,16,Goalkeeper,West Brom U18,-,in,0,Championship,1993,1993/1994
West Bromwich Albion,Craig Shakespeare,29,Left Midfield,Grimsby Town,£118k,out,0.118,Championship,1993,1993/1994
West Bromwich Albion,Kwame Ampadu,23,Midfielder,Swansea,£19k,out,0.019,Championship,1993,1993/1994
West Bromwich Albion,Graham Roberts,33,Centre-Back,Stevenage FC,?,out,NA,Championship,1993,1993/1994
West Bromwich Albion,Nicky Reid,33,Centre-Back,Wycombe,?,out,NA,Championship,1993,1993/1994
West Bromwich Albion,Gary Robson,27,Midfielder,Bradford,?,out,NA,Championship,1993,1993/1994
West Bromwich Albion,Paul Williams,24,Defender,Coventry,"End of loanDec 31, 1993",out,0,Championship,1993,1993/1994
Derby County,John Harkes,26,Right Midfield,Sheff Wed,£1.08m,in,1.08,Championship,1993,1993/1994
Derby County,Gordon Cowans,35,Midfielder,Aston Villa,£207k,in,0.207,Championship,1993,1993/1994
Derby County,Kevin Ratcliffe,33,Centre-Back,Cardiff,?,in,NA,Championship,1993,1993/1994
Derby County,Gary Charles,23,Right-Back,Nottm Forest,?,in,NA,Championship,1993,1993/1994
Derby County,Kevin Cooper,18,Left Midfield,Derby U18,-,in,0,Championship,1993,1993/1994
Derby County,Simon Coleman,25,Defender,Sheff Wed,£344k,out,0.344,Championship,1993,1993/1994
Derby County,Andy Comyn,24,Centre-Back,Plymouth,£270k,out,0.27,Championship,1993,1993/1994
Derby County,Ted McMinn,30,Right Winger,Birmingham,£126k,out,0.126,Championship,1993,1993/1994
Derby County,Mark Patterson,24,Defender,Plymouth,£65k,out,0.065,Championship,1993,1993/1994
Derby County,Tom Curtis,20,Midfielder,Chesterfield FC,Free Transfer,out,0,Championship,1993,1993/1994
Derby County,Gary Micklewhite,32,Midfielder,Gillingham FC,?,out,NA,Championship,1993,1993/1994
Derby County,Colin Loss,19,Right Midfield,Gresley,?,out,NA,Championship,1993,1993/1994
Middlesbrough FC,Anthony Barness,20,Right-Back,Chelsea,Loan,in,0,Championship,1993,1993/1994
Middlesbrough FC,Steve Vickers,25,Defender,Tranmere Rovers,?,in,NA,Championship,1993,1993/1994
Middlesbrough FC,John Gannon,26,Midfielder,Sheffield Utd.,Loan,in,0,Championship,1993,1993/1994
Middlesbrough FC,Phil Stamp,17,Midfielder,Boro U18,-,in,0,Championship,1993,1993/1994
Middlesbrough FC,Gary Parkinson,25,Right-Back,Southend United,"End of loanJun 30, 1993",in,0,Championship,1993,1993/1994
Middlesbrough FC,Alan Kernaghan,26,Centre-Back,Man City,£2.16m,out,2.16,Championship,1993,1993/1994
Middlesbrough FC,Willie Falconer,27,Centre-Forward,Sheffield Utd.,£540k,out,0.54,Championship,1993,1993/1994
Middlesbrough FC,Jimmy Phillips,27,Defender,Bolton,£257k,out,0.257,Championship,1993,1993/1994
Middlesbrough FC,Gary Parkinson,26,Right-Back,Bolton,Free Transfer,out,0,Championship,1993,1993/1994
Middlesbrough FC,Jonathan Gittens,29,Defender,Portsmouth,Free Transfer,out,0,Championship,1993,1993/1994
Middlesbrough FC,Ian Ironside,29,Goalkeeper,Stockport,?,out,NA,Championship,1993,1993/1994
Middlesbrough FC,Andy Peake,32,Midfielder,Retired,-,out,0,Championship,1993,1993/1994
Middlesbrough FC,John Gannon,27,Midfielder,Sheffield Utd.,"End of loanMay 31, 1994",out,0,Championship,1993,1993/1994
Middlesbrough FC,Anthony Barness,20,Right-Back,Chelsea,"End of loanSep 1, 1993",out,0,Championship,1993,1993/1994
Middlesbrough FC,Chris Kamara,35,Defensive Midfield,Luton Town,"End of loanJun 26, 1993",out,0,Championship,1993,1993/1994
Bristol City,Liam Robinson,27,Centre-Forward,Bury,£130k,in,0.13,Championship,1993,1993/1994
Bristol City,Jamie Hoyland,28,Midfielder,Sheffield Utd.,Loan,in,0,Championship,1993,1993/1994
Bristol City,Ian Baird,29,Centre-Forward,Heart of Midl.,?,in,NA,Championship,1993,1993/1994
Bristol City,Brian Borrows,32,Right-Back,Coventry,Loan,in,0,Championship,1993,1993/1994
Bristol City,Fitzroy Simpson,23,Midfielder,Man City,Loan,in,0,Championship,1993,1993/1994
Bristol City,Gary Shelton,36,Midfielder,Rochdale,"End of loanMay 31, 1994",in,0,Championship,1993,1993/1994
Bristol City,Matthew Hewlett,22,Midfielder,Bristol City U18,-,in,0,Championship,1993,1993/1994
Bristol City,Andy Cole,22,Centre-Forward,Newcastle,£2.43m,out,2.43,Championship,1993,1993/1994
Bristol City,Gary Shelton,35,Midfielder,Rochdale,Loan,out,0,Championship,1993,1993/1994
Bristol City,David Thompson,25,Centre-Back,Brentford,Free Transfer,out,0,Championship,1993,1993/1994
Bristol City,Andy Leaning,30,Goalkeeper,Lincoln City,Free Transfer,out,0,Championship,1993,1993/1994
Bristol City,Brian Mitchell,29,Right-Back,Hull City,?,out,NA,Championship,1993,1993/1994
Bristol City,Raymond Atteveld,26,Centre-Back,KSV Waregem,?,out,NA,Championship,1993,1993/1994
Bristol City,Nicky Morgan,33,Forward,Exeter City,?,out,NA,Championship,1993,1993/1994
Bristol City,Dariusz Dziekanowski,30,Forward,Legia Warszawa,?,out,NA,Championship,1993,1993/1994
Bristol City,Terry Connor,30,Forward,Yeovil Town,?,out,NA,Championship,1993,1993/1994
Bristol City,Mark Gavin,30,Forward,Exeter City,?,out,NA,Championship,1993,1993/1994
Bristol City,Jim McIntyre,21,Left Winger,Airdrie,?,out,NA,Championship,1993,1993/1994
