club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atalanta BC,Duván Zapata,27,Centre-Forward,Sampdoria,Loan fee:£12.60m,in,Summer,12.6,Serie A,2018,2018/2019
Atalanta BC,Davide Bettella,18,Centre-Back,Inter,£6.30m,in,Summer,6.3,Serie A,2018,2018/2019
Atalanta BC,Bryan Cristante,23,Central Midfield,Benfica,£4.50m,in,Summer,4.5,Serie A,2018,2018/2019
Atalanta BC,Marco Tumminello,19,Centre-Forward,AS Roma,£4.50m,in,Summer,4.5,Serie A,2018,2018/2019
Atalanta BC,Marco Carraro,20,Defensive Midfield,Inter,£4.50m,in,Summer,4.5,Serie A,2018,2018/2019
Atalanta BC,Pierluigi Gollini,23,Goalkeeper,Aston Villa,£3.42m,in,Summer,3.42,Serie A,2018,2018/2019
Atalanta BC,Arkadiusz Reca,23,Left-Back,Wisla Plock,£3.33m,in,Summer,3.33,Serie A,2018,2018/2019
Atalanta BC,Marco Varnier,20,Centre-Back,Cittadella,Loan fee:£2.70m,in,Summer,2.7,Serie A,2018,2018/2019
Atalanta BC,Mario Pasalic,23,Central Midfield,Chelsea,Loan fee:£2.25m,in,Summer,2.25,Serie A,2018,2018/2019
Atalanta BC,Emiliano Rigoni,25,Right Winger,Zenit S-Pb,Loan fee:£900Th.,in,Summer,0.9,Serie A,2018,2018/2019
Atalanta BC,Matteo Salvi,19,Centre-Back,Pisa U19,£45Th.,in,Summer,0.045,Serie A,2018,2018/2019
Atalanta BC,Ali Adnan,24,Left-Back,Udinese Calcio,Loan,in,Summer,0,Serie A,2018,2018/2019
Atalanta BC,Jasmin Kurtic,29,Central Midfield,SPAL,£4.77m,out,Summer,4.77,Serie A,2018,2018/2019
Atalanta BC,Bryan Cristante,23,Central Midfield,AS Roma,Loan fee:£4.50m,out,Summer,4.5,Serie A,2018,2018/2019
Atalanta BC,Alberto Paloschi,28,Centre-Forward,SPAL,£3.60m,out,Summer,3.6,Serie A,2018,2018/2019
