club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Roda JC Kerkrade,Wiljan Pluim,22,Attacking Midfield,Vitesse,£315Th.,in,Summer,0.315,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Mitchell Donald,22,Central Midfield,Ajax,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Martijn Monteyne,26,Right-Back,Beerschot AC,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Davy De Beule,29,Right Midfield,KV Kortrijk,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Mark-Jan Fledderus,28,Left-Back,Heracles Almelo,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Leon Broekhof,23,Centre-Back,De Graafschap,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Rob Wielaert,32,Centre-Back,Ajax,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Bart Biemans,23,Centre-Back,Willem II,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Adil Ramzi,33,Left Midfield,Al-Wakrah SC,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Bryan Roox,18,Goalkeeper,VVV/Hel U19,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Sanharib Malki,27,Centre-Forward,KSC Lokeren,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Mikolaj Lebedynski,20,Centre-Forward,Pogon Szczecin,Loan,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Jagos Vukovic,23,Centre-Back,PSV Eindhoven,Loan,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Pawel Kieszek,27,Goalkeeper,FC Porto,Loan,in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Adnan Secerovic,19,Central Midfield,NEC Nijmegen,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Przemyslaw Tyton,24,Goalkeeper,PSV Eindhoven,Loan fee:£630Th.,out,Summer,0.63,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Willem Janssen,24,Centre-Back,Twente FC,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Eelco Horsten,21,Right-Back,VV UNA,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Pa-Modou Kah,30,Centre-Back,Al-Khor SC,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Collin van Eijk,19,Goalkeeper,MVV Maastricht,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Boldizsár Bodor,29,Left-Back,OFI Crete,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Rihairo Meulens,23,Right Winger,Almere City,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Anouar Hadouir,28,Attacking Midfield,Alem. Aachen,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Yani Urdinov,20,Left-Back,Rabotnicki,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Davy De fauw,29,Right-Back,Zulte Waregem,?,out,Summer,NA,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Antonio Stankov,20,Right-Back,FC Oss,Loan,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Eric Addo,32,Centre-Back,Without Club,-,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Vincent Lachambre,30,Left-Back,Without Club,-,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Adnan Secerovic,19,Central Midfield,Fortuna Sittard,Loan,out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Morten Skoubo,31,Centre-Forward,FC Utrecht,"End of loanJun 30, 2011",out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Rob Wielaert,32,Centre-Back,Ajax,"End of loanJun 30, 2011",out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Stein Huysegems,29,Centre-Forward,KRC Genk,"End of loanJun 30, 2011",out,Summer,0,Eredivisie,2011,2011/2012
Roda JC Kerkrade,Wiljan Pluim,22,Attacking Midfield,Vitesse,"End of loanJun 30, 2011",out,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Roy Beerens,23,Right Winger,Heerenveen,£1.44m,in,Summer,1.44,Eredivisie,2011,2011/2012
AZ Alkmaar,Jozy Altidore,21,Centre-Forward,Villarreal,£1.35m,in,Summer,1.35,Eredivisie,2011,2011/2012
AZ Alkmaar,Ruud Boymans,22,Centre-Forward,VVV-Venlo,?,in,Summer,NA,Eredivisie,2011,2011/2012
AZ Alkmaar,Adam Maher,17,Central Midfield,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Niki Mäenpää,26,Goalkeeper,Without Club,-,in,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Boy Waterman,27,Goalkeeper,De Graafschap,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Gijs Luirink,27,Centre-Back,SC Cambuur,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Gill Swerts,28,Right-Back,Feyenoord,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,James Holland,22,Defensive Midfield,Sparta R.,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Kolbeinn Sigthórsson,21,Centre-Forward,Ajax,£3.60m,out,Summer,3.6,Eredivisie,2011,2011/2012
AZ Alkmaar,Héctor Moreno,23,Centre-Back,Espanyol,£2.25m,out,Summer,2.25,Eredivisie,2011,2011/2012
AZ Alkmaar,Sergio Romero,24,Goalkeeper,Sampdoria,£1.89m,out,Summer,1.89,Eredivisie,2011,2011/2012
AZ Alkmaar,Graziano Pellè,25,Centre-Forward,Parma,£1.35m,out,Summer,1.35,Eredivisie,2011,2011/2012
AZ Alkmaar,Stijn Schaars,27,Defensive Midfield,Sporting CP,£1.22m,out,Summer,1.22,Eredivisie,2011,2011/2012
AZ Alkmaar,Gill Swerts,28,Right-Back,Feyenoord,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Nick van der Velden,29,Left Winger,NEC Nijmegen,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Gijs Luirink,27,Centre-Back,Sparta R.,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Ramón,20,Right-Back,Itabuna-BA,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Boy Waterman,27,Goalkeeper,Alem. Aachen,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
AZ Alkmaar,Joey Didulica,33,Goalkeeper,Retired,-,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Xhelil Abdulla,19,Centre-Back,Shkendija,£135Th.,in,Summer,0.135,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Nenad Sreckovic,23,Left Winger,Red Star,£45Th.,in,Summer,0.045,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Dulee Johnson,26,Central Midfield,Panetolikos,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Michael de Leeuw,24,Attacking Midfield,Veendam,?,in,Summer,NA,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Yves De Winter,24,Goalkeeper,KVC Westerlo,?,in,Summer,NA,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Lion Kaak,20,Defensive Midfield,De Graafs. U21,-,in,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Kaye Coppoolse,20,Centre-Forward,De Graafs. U21,-,in,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Jordy van de Kracht,21,Goalkeeper,De Graafs. U21,-,in,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Leon Broekhof,23,Centre-Back,Roda JC,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Jordy Buijs,22,Centre-Back,NAC Breda,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Peter Jungschläger,27,Central Midfield,Gold Coast Utd.,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Rik Sebens,23,Attacking Midfield,Achilles '29,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Niek Sebens,21,Centre-Forward,Juliana '31,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Youssouf Hersi,28,Right Winger,Without Club,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Hugo Bargas,24,Centre-Forward,All Boys,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Edwin Gyasi,20,Right Winger,FC Twente U21,?,out,Summer,NA,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Steve De Ridder,24,Attacking Midfield,Southampton,?,out,Summer,NA,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Tyrone Loran,30,Right-Back,Without Club,-,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Dulee Johnson,26,Central Midfield,Without Club,-,out,Summer,0,Eredivisie,2011,2011/2012
De Graafschap Doetinchem,Boy Waterman,27,Goalkeeper,AZ Alkmaar,"End of loanJun 30, 2011",out,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Kolbeinn Sigthórsson,21,Centre-Forward,AZ Alkmaar,£3.60m,in,Summer,3.6,Eredivisie,2011,2011/2012
Ajax Amsterdam,Jasper Cillessen,22,Goalkeeper,NEC Nijmegen,£2.90m,in,Summer,2.9,Eredivisie,2011,2011/2012
Ajax Amsterdam,Theo Janssen,29,Central Midfield,Twente FC,£2.70m,in,Summer,2.7,Eredivisie,2011,2011/2012
Ajax Amsterdam,Thulani Serero,21,Defensive Midfield,Ajax Cape Town,£2.25m,in,Summer,2.25,Eredivisie,2011,2011/2012
Ajax Amsterdam,Derk Boerrigter,24,Left Winger,RKC Waalwijk,£495Th.,in,Summer,0.495,Eredivisie,2011,2011/2012
Ajax Amsterdam,Dmitri Bulykin,31,Centre-Forward,RSC Anderlecht,Free transfer,in,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Mats Rits,17,Defensive Midfield,Beerschot AC,?,in,Summer,NA,Eredivisie,2011,2011/2012
Ajax Amsterdam,Hyun-jun Suk,20,Centre-Forward,Ajax U21,-,in,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Nicolai Boilesen,19,Left-Back,Ajax U21,-,in,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Jan-Arie van der Heijden,23,Centre-Back,Willem II,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Rob Wielaert,32,Centre-Back,Roda JC,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Ismail Aissati,22,Attacking Midfield,Vitesse,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Marvin Zeegelaar,20,Left-Back,Excelsior,"End of loanJun 30, 2011",in,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Maarten Stekelenburg,28,Goalkeeper,AS Roma,£6.59m,out,Summer,6.59,Eredivisie,2011,2011/2012
Ajax Amsterdam,Demy de Zeeuw,28,Central Midfield,Spartak Moscow,£5.40m,out,Summer,5.4,Eredivisie,2011,2011/2012
Ajax Amsterdam,Jan-Arie van der Heijden,23,Centre-Back,Vitesse,£270Th.,out,Summer,0.27,Eredivisie,2011,2011/2012
Ajax Amsterdam,Darío Cvitanich,27,Centre-Forward,Boca Juniors,Loan,out,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Rasmus Lindgren,26,Centre-Back,RB Salzburg,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Marvin Zeegelaar,20,Left-Back,RCD Espanyol B,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Rob Wielaert,32,Centre-Back,Roda JC,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
Ajax Amsterdam,Hyun-jun Suk,20,Centre-Forward,FC Groningen,Free transfer,out,Summer,0,Eredivisie,2011,2011/2012
