club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Belenenses SAD,Bakary Bouba Saré,27,Central Midfield,Moreirense,Free transfer,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,André Geraldes,26,Right-Back,Sporting CP,Loan,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Fredy,27,Attacking Midfield,Excelsior,Free transfer,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Muriel,30,Goalkeeper,Inter B,Free transfer,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Femi Balogun,24,Left Winger,Desportivo Aves,Free transfer,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Roni,26,Left Winger,FC São Paulo B,Loan,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Cleylton,24,Centre-Back,São Paulo,?,in,Summer,NA,Liga Nos,2017,2017/2018
Belenenses SAD,Jesús Hernández,24,Centre-Forward,Deportivo Lara,Loan,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Filipe Chaby,23,Attacking Midfield,Sporting B,?,in,Summer,NA,Liga Nos,2017,2017/2018
Belenenses SAD,Vincent Sasso,26,Centre-Back,Sheff Wed,?,in,Summer,NA,Liga Nos,2017,2017/2018
Belenenses SAD,Bruno Pereirinha,29,Right Winger,Without Club,-,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Gonçalo Agrelos,19,Left Winger,Belenenses U19,-,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,João Louro,20,Right Winger,1º Dezembro,"End of loanJun 30, 2018",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,João Louro,19,Right Winger,Belenenses U19,-,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Merlin Tandjigora,27,Central Midfield,Without Club,-,in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Ricardo Dias,26,Defensive Midfield,Feirense,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Nuno Tomás,21,Centre-Back,Real SC,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Tiago Duque,23,Centre-Back,Olhanense,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Rúben Pinto,25,Defensive Midfield,CSKA Sofia,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Luís Silva,24,Central Midfield,Cova Piedade,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Komnen Andric,21,Centre-Forward,Zalgiris,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Ricardo Fernandes,22,Goalkeeper,Fafe,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Adélcio Varela,21,Left-Back,AC Malveira,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Gonçalo Tavares,20,Right-Back,Real SC,"End of loanJun 30, 2017",in,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Edgar Ié,23,Centre-Back,LOSC Lille,£3.15m,out,Summer,3.15,Liga Nos,2017,2017/2018
Belenenses SAD,Rúben Pinto,25,Defensive Midfield,CSKA Sofia,£270Th.,out,Summer,0.27,Liga Nos,2017,2017/2018
Belenenses SAD,Gonçalo Tavares,20,Right-Back,Oriental,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Adélcio Varela,21,Left-Back,Eléctrico,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Gonçalo Agrelos,19,Left Winger,1º Dezembro,Free transfer,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Abel Camará,27,Centre-Forward,Pafos FC,Free transfer,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Betinho,24,Centre-Forward,União Madeira,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Tiago Duque,23,Centre-Back,Coimbra,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,João Louro,19,Right Winger,Oriental,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Fábio Nunes,25,Left Winger,AOK Kerkyra,Free transfer,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Luís Silva,24,Central Midfield,Leixões,Free transfer,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Mica Pinto,24,Left-Back,União Madeira,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Ricardo Dias,26,Defensive Midfield,Coimbra,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Vítor Gomes,29,Central Midfield,Desportivo Aves,?,out,Summer,NA,Liga Nos,2017,2017/2018
Belenenses SAD,Femi Balogun,24,Left Winger,Coimbra,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Cristiano Figueiredo,26,Goalkeeper,Vitória Setúbal,?,out,Summer,NA,Liga Nos,2017,2017/2018
Belenenses SAD,Komnen Andric,22,Centre-Forward,Inter Zapresic,Loan,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Hugo Ventura,29,Goalkeeper,Without Club,-,out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Lucas Pugh,22,Centre-Forward,Arsenal FC II,"End of loanJun 30, 2016",out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Oriol Rosell,24,Defensive Midfield,Sporting CP,"End of loanJun 30, 2017",out,Summer,0,Liga Nos,2017,2017/2018
Belenenses SAD,Domingos Duarte,22,Centre-Back,Sporting B,"End of loanJun 30, 2017",out,Summer,0,Liga Nos,2017,2017/2018
