club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Spartak Moscow,Stipe Pletikosa,28,Goalkeeper,Shakhtar D.,£2.25m,in,2.25,Premier Liga,2006,2006/2007
Spartak Moscow,Antônio Géder,28,Centre-Back,Saturn,£1.62m,in,1.62,Premier Liga,2006,2006/2007
Spartak Moscow,Renat Sabitov,21,Defensive Midfield,Saturn,£180k,in,0.18,Premier Liga,2006,2006/2007
Spartak Moscow,Andrejs Rubins,28,Left Winger,Shinnik,"End of loanDec 1, 2006",in,0,Premier Liga,2006,2006/2007
Spartak Moscow,Artem Dzyuba,18,Centre-Forward,Spartak II,-,in,0,Premier Liga,2006,2006/2007
Spartak Moscow,Florin Soava,28,Centre-Back,KS Samara,"End of loanDec 31, 2006",in,0,Premier Liga,2006,2006/2007
Spartak Moscow,Aleksandr Prudnikov,17,Centre-Forward,Spartak II,-,in,0,Premier Liga,2006,2006/2007
Spartak Moscow,Fernando Cavenaghi,23,Centre-Forward,G. Bordeaux,£8.10m,out,8.1,Premier Liga,2006,2006/2007
Spartak Moscow,Mihajlo Pjanovic,29,Centre-Forward,Rostov,£270k,out,0.27,Premier Liga,2006,2006/2007
Spartak Moscow,Clemente Rodríguez,25,Left-Back,Boca Juniors,Loan fee:£225k,out,0.225,Premier Liga,2006,2006/2007
Spartak Moscow,Adrian Iencsi,31,Centre-Back,C. Piatra Neamt,£27k,out,0.027,Premier Liga,2006,2006/2007
Spartak Moscow,Aleksandr Pavlenko,21,Central Midfield,Shinnik,Loan,out,0,Premier Liga,2006,2006/2007
Spartak Moscow,Gabriel Tamas,22,Centre-Back,Celta de Vigo,Loan,out,0,Premier Liga,2006,2006/2007
Spartak Moscow,Andrii Popov,20,Left Midfield,Metalurh Z.,?,out,NA,Premier Liga,2006,2006/2007
Spartak Moscow,Aleksey Zuev,25,Goalkeeper,Career break,-,out,0,Premier Liga,2006,2006/2007
Spartak Moscow,Dmitri Alenichev,33,Central Midfield,Retired,-,out,0,Premier Liga,2006,2006/2007
Spartak Moscow,Andrejs Rubins,28,Left Winger,Spartak II,-,out,0,Premier Liga,2006,2006/2007
FK Moskau,Pablo Barrientos,21,Right Winger,San Lorenzo,£2.70m,in,2.7,Premier Liga,2006,2006/2007
FK Moskau,Branislav Krunic,27,Central Midfield,Tom Tomsk,£900k,in,0.9,Premier Liga,2006,2006/2007
FK Moskau,Alexandru Epureanu,20,Centre-Back,Sheriff,£630k,in,0.63,Premier Liga,2006,2006/2007
FK Moskau,Roman Hubnik,22,Centre-Back,Sigma Olomouc,Loan,in,0,Premier Liga,2006,2006/2007
FK Moskau,Dragan Tresnjic,21,Defensive Midfield,Dinamo Bukarest,?,in,NA,Premier Liga,2006,2006/2007
FK Moskau,Andrey Topchu,26,Left Winger,Kuban Krasnodar,?,in,NA,Premier Liga,2006,2006/2007
FK Moskau,Kirill Orlov,23,Right-Back,Rostov,"End of loanDec 31, 2006",in,0,Premier Liga,2006,2006/2007
FK Moskau,Budun Budunov,31,Centre-Forward,Terek Grozny,"End of loanDec 31, 2006",in,0,Premier Liga,2006,2006/2007
FK Moskau,Pavel Golyshev,19,Attacking Midfield,FK Moskau II,-,in,0,Premier Liga,2006,2006/2007
FK Moskau,Dmitri Golubov,21,Centre-Forward,Torpedo Moscow,"End of loanDec 1, 2006",in,0,Premier Liga,2006,2006/2007
FK Moskau,Valeri Leonov,26,Right Midfield,Terek Grozny,"End of loanDec 1, 2006",in,0,Premier Liga,2006,2006/2007
