id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2097,Lionel Messi,34,2832,37,26.885174363851547,9,13.955131396651268,179,79,6,0,F M S,Barcelona,31,21.682230830192566,42.52504535019398,18.13351222872734
2098,Luis Suárez,35,2870,29,23.78064550086856,13,11.039603393524885,120,62,8,0,F S,Barcelona,29,23.78064550086856,39.09228644520044,9.213264803402126
2371,Cristiano Ronaldo,29,2546,25,25.413737758994102,6,4.591035931371152,162,31,4,0,F M,Real Madrid,19,19.467644795775414,29.57457834482193,8.661094894632697
2290,Iago Aspas,32,2317,19,13.990092385560274,3,5.44426878541708,78,50,8,1,F M S,Celta Vigo,13,9.530682424083352,15.566101256757975,3.66619073972106
2270,Antoine Griezmann,36,3072,16,11.523304808884859,8,7.356404351070523,88,56,3,0,F M,Atletico Madrid,16,10.03674952313304,23.41523878276348,8.286495961248875
2410,Aduriz,32,2464,16,15.069717222824693,1,1.627039710059762,85,24,8,1,F S,Athletic Club,11,11.353329183533788,13.694360074587166,2.1255903067067266
1804,Álvaro Morata,26,1326,15,9.517800079658628,4,3.836930301040411,55,17,8,0,F S,Real Madrid,15,9.517800079658628,15.497442090883851,3.9718160089105368
2537,Sandro Ramírez,30,2321,14,6.997657286934555,3,2.9984878404065967,92,31,4,0,F S,Malaga,14,6.254507529549301,9.065592529252172,2.0745892161503434
2099,Neymar,30,2652,13,14.175591252744198,11,10.670383967459202,105,91,6,1,F M,Barcelona,12,13.432441525161266,30.410841055214405,12.350060816854239
2120,Gerard Moreno,37,3286,13,8.475201631896198,4,2.6294274907559156,82,32,6,0,F M,Espanyol,13,7.7319240076467395,10.779367482289672,3.0697347782552242
2150,Rubén Castro,35,2786,13,13.728098262101412,3,2.3103723619133234,117,27,3,0,F M S,Real Betis,11,12.24154301173985,14.288916926831007,2.2716515082865953
2361,Willian José,28,2081,12,7.885893329046667,4,2.3852955102920532,69,20,4,0,F S,Real Sociedad,9,5.656445941887796,9.129569853655994,3.774261813610792
