id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1253,Edin Dzeko,37,3051,29,32.39944218844175,9,5.461562674492598,178,44,4,0,F S,Roma,28,30.11554568260908,34.761223044246435,4.385937949642539
1384,Dries Mertens,35,2573,28,25.1444177813828,9,8.104734702967107,148,57,6,0,F S,Napoli,26,22.860521230846643,37.67081980407238,11.753049436956644
1186,Andrea Belotti,35,3070,26,20.714848719537258,7,4.630483669228852,130,57,5,0,F S,Torino,24,16.90835451334715,19.51798241585493,3.9725860729813576
1293,Gonzalo Higuaín,38,2966,24,19.412510531023145,3,6.201655734330416,134,39,1,0,F S,Juventus,24,19.412510531023145,26.908879769966006,6.4366726921871305
1513,Mauro Icardi,34,3030,24,20.680371914058924,8,4.897647587582469,109,43,1,0,F,Inter,21,17.635176587849855,21.16383771970868,2.21154866181314
1209,Ciro Immobile,36,3128,23,21.18695278838277,3,3.7920789513736963,136,41,5,0,F S,Lazio,17,16.61919990554452,21.83204623684287,4.345299420878291
1393,Lorenzo Insigne,37,2946,18,14.799433965235949,9,7.879277715459466,147,66,2,0,F S,Napoli,16,13.276836339384317,33.14796829968691,18.729353815317154
1210,Keita,31,1938,16,8.736326944082975,3,4.307435927912593,70,43,4,1,F M S,Lazio,14,7.213850867003202,13.986206788569689,3.790833415463567
1405,Marco Borriello,36,2605,16,8.682236978784204,1,2.325727296061814,81,24,4,0,F S,Cagliari,15,7.159679232165217,11.108963285572827,3.7500461488962173
1491,Alejandro Gomez,37,3155,16,11.634497320279479,10,10.414888186380267,117,89,6,0,F M,Atalanta,14,10.11189960502088,22.892919462174177,8.976828830316663
1250,Mohamed Salah,31,2498,15,13.411626555025578,11,9.63362380117178,80,71,2,0,F M S,Roma,15,13.411626555025578,29.46748649328947,9.299841643311083
1425,Nikola Kalinic,32,2481,15,15.723526073619723,2,3.334717996418476,91,37,5,1,F S,Fiorentina,14,14.200928432866931,15.919191401451826,2.437295414507389
1382,José Callejón,37,3151,14,12.506551627069712,12,9.206191425677389,86,76,3,1,F,Napoli,14,12.506551627069712,29.337506741285324,10.370102622546256
1125,Carlos Bacca,32,2152,13,14.850960899144411,3,2.6081464299932122,56,19,3,0,F S,AC Milan,9,10.28316793590784,12.942242007702589,2.0166887482628226
1360,Diego Falcinelli,36,3147,13,11.441975174471736,3,3.404323922470212,99,36,7,0,F S,"Crotone,Sassuolo",11,9.91937762312591,12.794175315648317,2.16709200758487
1102,Giovanni Simeone,35,2621,12,13.468356123194098,1,1.80946153588593,75,18,3,0,F S,Genoa,11,11.945758467540145,14.549328625202179,1.6236622128635645
1147,Cyril Théréau,33,2516,12,9.618900392204523,2,2.194914948195219,70,30,3,0,F M S,Udinese,11,8.09630273655057,13.323270665481687,5.03896114975214
1185,Iago Falque,35,2539,12,8.45567375048995,8,4.829465361312032,65,50,2,0,F M S,Torino,10,6.1717771999537945,15.918630599975586,7.989161058329046
1230,Fabio Quagliarella,37,2890,12,13.83316557854414,4,3.4728623926639557,112,28,2,0,F S,Sampdoria,9,10.787970334291458,12.910457462072372,1.1710653267800808
1381,Marek Hamsik,38,3064,12,8.060387192294002,10,7.283395636826754,88,77,1,0,M S,Napoli,12,8.060387192294002,29.709276393055916,19.65783406049013
1468,Gregoire Defrel,29,1963,12,7.758551370352507,2,2.0214183256030083,43,30,1,0,F M S,Sassuolo,11,6.9972524754703045,10.174325409345329,2.4967893892899156
448,Ivan Perisic,36,2757,11,10.20319452881813,8,9.262200741097331,104,62,2,1,F M S,Inter,11,10.20319452881813,18.987080469727516,6.029578304849565
1229,Luis Muriel,31,2270,11,9.170988263562322,5,4.549061372876167,84,44,4,1,F S,Sampdoria,7,6.1257929895073175,11.6367082670331,2.713555552996695
1236,Patrik Schick,32,1489,11,5.699526090174913,3,2.7119052102789283,43,20,2,0,F S,Sampdoria,11,5.699526090174913,7.837003417313099,1.849090799689293
1251,Radja Nainggolan,37,3052,11,6.018761994317174,5,7.531554467044771,90,69,2,0,F M S,Roma,11,6.018761994317174,21.978864409029484,12.449996436946094
1272,Ilija Nestorovski,37,3106,11,8.045289490371943,3,2.0566704627126455,76,37,5,0,F S,Palermo,10,7.2839906848967075,9.82910406962037,2.4159801257774234
1294,Paulo Dybala,31,2162,11,9.196439143270254,7,7.809739504009485,89,58,2,0,F M S,Juventus,8,6.912542682141066,18.341039303690195,9.298405915498734
1424,Federico Bernardeschi,32,2322,11,7.315181166864932,4,7.2038305047899485,71,56,5,1,F M S,Fiorentina,8,4.269985848106444,10.12863927334547,3.971925128251314
1580,Mattia Destro,30,2478,11,9.619933251291513,0,1.1309135649353266,59,13,4,0,F S,Bologna,11,8.858634445816278,10.197997061535716,1.112105306237936
1148,Duván Zapata,38,3163,10,12.88108285330236,3,4.217417415231466,78,38,3,0,F S,Udinese,9,12.119784018024802,14.816821350716054,2.5532577484846115
1187,Adem Ljajic,33,2526,10,6.000804791226983,8,7.299953515641391,94,60,5,0,F M S,Torino,9,4.47820714302361,13.86832837574184,8.695244629867375
